"Plot Title: flam.mid"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1282995, SEN S/N: 1282995, LBL: k)","Temp, °C (LGR S/N: 1282995, SEN S/N: 1282995, LBL: temp)","Host Connected (LGR S/N: 1282995)","Stopped (LGR S/N: 1282995)","End Of File (LGR S/N: 1282995)"
1,05/25/23 01:26:37 PM,21.28,21.652,,,
2,05/25/23 01:26:38 PM,21.62,21.652,,,
3,05/25/23 01:26:39 PM,21.62,21.652,,,
4,05/25/23 01:26:40 PM,21.62,21.652,,,
5,05/25/23 01:26:41 PM,21.62,21.652,,,
6,05/25/23 01:26:42 PM,21.28,21.652,,,
7,05/25/23 01:26:43 PM,21.62,21.676,,,
8,05/25/23 01:26:44 PM,21.62,21.676,,,
9,05/25/23 01:26:45 PM,21.62,21.676,,,
10,05/25/23 01:26:46 PM,21.28,21.676,,,
11,05/25/23 01:26:47 PM,21.28,21.700,,,
12,05/25/23 01:26:48 PM,21.62,21.700,,,
13,05/25/23 01:26:49 PM,21.62,21.700,,,
14,05/25/23 01:26:50 PM,21.62,21.724,,,
15,05/25/23 01:26:51 PM,21.62,21.724,,,
16,05/25/23 01:26:52 PM,21.62,21.724,,,
17,05/25/23 01:26:53 PM,21.62,21.748,,,
18,05/25/23 01:26:54 PM,21.62,21.748,,,
19,05/25/23 01:26:55 PM,21.62,21.772,,,
20,05/25/23 01:26:56 PM,21.62,21.772,,,
21,05/25/23 01:26:57 PM,21.62,21.772,,,
22,05/25/23 01:26:58 PM,21.62,21.795,,,
23,05/25/23 01:26:59 PM,21.62,21.795,,,
24,05/25/23 01:27:00 PM,21.62,21.819,,,
25,05/25/23 01:27:01 PM,21.62,21.819,,,
26,05/25/23 01:27:02 PM,21.62,21.843,,,
27,05/25/23 01:27:03 PM,21.62,21.843,,,
28,05/25/23 01:27:04 PM,21.62,21.843,,,
29,05/25/23 01:27:05 PM,21.62,21.843,,,
30,05/25/23 01:27:06 PM,21.62,21.843,,,
31,05/25/23 01:27:07 PM,21.62,21.867,,,
32,05/25/23 01:27:08 PM,21.62,21.867,,,
33,05/25/23 01:27:09 PM,21.62,21.867,,,
34,05/25/23 01:27:10 PM,21.62,21.867,,,
35,05/25/23 01:27:11 PM,21.62,21.891,,,
36,05/25/23 01:27:12 PM,21.62,21.891,,,
37,05/25/23 01:27:13 PM,21.62,21.891,,,
38,05/25/23 01:27:14 PM,21.62,21.891,,,
39,05/25/23 01:27:15 PM,21.62,21.915,,,
40,05/25/23 01:27:16 PM,21.62,21.915,,,
41,05/25/23 01:27:17 PM,21.62,21.939,,,
42,05/25/23 01:27:18 PM,21.62,21.939,,,
43,05/25/23 01:27:19 PM,21.62,21.915,,,
44,05/25/23 01:27:20 PM,21.62,21.915,,,
45,05/25/23 01:27:21 PM,21.62,21.915,,,
46,05/25/23 01:27:22 PM,21.62,21.915,,,
47,05/25/23 01:27:23 PM,21.62,21.939,,,
48,05/25/23 01:27:24 PM,21.62,21.939,,,
49,05/25/23 01:27:25 PM,21.62,21.939,,,
50,05/25/23 01:27:26 PM,21.62,21.939,,,
51,05/25/23 01:27:27 PM,21.62,21.939,,,
52,05/25/23 01:27:28 PM,21.62,21.939,,,
53,05/25/23 01:27:29 PM,21.62,21.939,,,
54,05/25/23 01:27:30 PM,21.62,21.939,,,
55,05/25/23 01:27:31 PM,21.62,21.939,,,
56,05/25/23 01:27:32 PM,21.62,21.963,,,
57,05/25/23 01:27:33 PM,21.62,21.939,,,
58,05/25/23 01:27:34 PM,21.62,21.963,,,
59,05/25/23 01:27:35 PM,21.62,21.963,,,
60,05/25/23 01:27:36 PM,21.62,21.963,,,
61,05/25/23 01:27:37 PM,21.62,21.963,,,
62,05/25/23 01:27:38 PM,21.62,21.963,,,
63,05/25/23 01:27:39 PM,21.62,21.963,,,
64,05/25/23 01:27:40 PM,21.62,21.963,,,
65,05/25/23 01:27:41 PM,21.62,21.963,,,
66,05/25/23 01:27:42 PM,21.28,21.963,,,
67,05/25/23 01:27:43 PM,21.62,21.963,,,
68,05/25/23 01:27:44 PM,21.28,21.963,,,
69,05/25/23 01:27:45 PM,21.62,21.963,,,
70,05/25/23 01:27:46 PM,21.62,21.963,,,
71,05/25/23 01:27:47 PM,21.62,21.963,,,
72,05/25/23 01:27:48 PM,21.62,21.963,,,
73,05/25/23 01:27:49 PM,21.62,21.963,,,
74,05/25/23 01:27:50 PM,21.62,21.963,,,
75,05/25/23 01:27:51 PM,21.62,21.963,,,
76,05/25/23 01:27:52 PM,21.62,21.963,,,
77,05/25/23 01:27:53 PM,21.62,21.987,,,
78,05/25/23 01:27:54 PM,21.62,21.963,,,
79,05/25/23 01:27:55 PM,21.62,21.987,,,
80,05/25/23 01:27:56 PM,21.62,21.963,,,
81,05/25/23 01:27:57 PM,21.62,21.963,,,
82,05/25/23 01:27:58 PM,21.62,21.987,,,
83,05/25/23 01:27:59 PM,21.62,21.963,,,
84,05/25/23 01:28:00 PM,21.28,21.963,,,
85,05/25/23 01:28:01 PM,21.62,21.987,,,
86,05/25/23 01:28:02 PM,21.62,21.963,,,
87,05/25/23 01:28:03 PM,21.62,21.987,,,
88,05/25/23 01:28:04 PM,21.62,21.987,,,
89,05/25/23 01:28:05 PM,21.62,21.987,,,
90,05/25/23 01:28:06 PM,21.62,21.987,,,
91,05/25/23 01:28:07 PM,21.62,21.987,,,
92,05/25/23 01:28:08 PM,21.62,21.987,,,
93,05/25/23 01:28:09 PM,21.62,21.987,,,
94,05/25/23 01:28:10 PM,21.28,21.987,,,
95,05/25/23 01:28:11 PM,21.62,21.987,,,
96,05/25/23 01:28:12 PM,21.62,21.987,,,
97,05/25/23 01:28:13 PM,21.62,21.987,,,
98,05/25/23 01:28:14 PM,21.62,21.987,,,
99,05/25/23 01:28:15 PM,21.62,21.987,,,
100,05/25/23 01:28:16 PM,21.62,21.987,,,
101,05/25/23 01:28:17 PM,21.62,21.987,,,
102,05/25/23 01:28:18 PM,21.62,21.987,,,
103,05/25/23 01:28:19 PM,21.62,21.987,,,
104,05/25/23 01:28:20 PM,21.62,21.987,,,
105,05/25/23 01:28:21 PM,21.62,21.987,,,
106,05/25/23 01:28:22 PM,21.62,21.987,,,
107,05/25/23 01:28:23 PM,21.62,21.987,,,
108,05/25/23 01:28:24 PM,21.62,21.987,,,
109,05/25/23 01:28:25 PM,21.62,21.987,,,
110,05/25/23 01:28:26 PM,21.62,21.987,,,
111,05/25/23 01:28:27 PM,21.62,21.987,,,
112,05/25/23 01:28:28 PM,21.62,21.987,,,
113,05/25/23 01:28:29 PM,21.62,21.987,,,
114,05/25/23 01:28:30 PM,21.62,21.963,,,
115,05/25/23 01:28:31 PM,21.62,21.963,,,
116,05/25/23 01:28:32 PM,21.28,21.987,,,
117,05/25/23 01:28:33 PM,21.28,21.987,,,
118,05/25/23 01:28:34 PM,21.62,21.987,,,
119,05/25/23 01:28:35 PM,21.62,21.987,,,
120,05/25/23 01:28:36 PM,21.28,21.987,,,
121,05/25/23 01:28:37 PM,21.62,21.987,,,
122,05/25/23 01:28:38 PM,21.62,21.987,,,
123,05/25/23 01:28:39 PM,21.62,21.987,,,
124,05/25/23 01:28:40 PM,21.62,21.987,,,
125,05/25/23 01:28:41 PM,21.62,21.987,,,
126,05/25/23 01:28:42 PM,21.62,21.987,,,
127,05/25/23 01:28:43 PM,21.62,21.987,,,
128,05/25/23 01:28:44 PM,21.62,21.963,,,
129,05/25/23 01:28:45 PM,21.28,21.987,,,
130,05/25/23 01:28:46 PM,21.62,21.963,,,
131,05/25/23 01:28:47 PM,21.28,21.987,,,
132,05/25/23 01:28:48 PM,21.62,21.987,,,
133,05/25/23 01:28:49 PM,21.62,21.987,,,
134,05/25/23 01:28:50 PM,21.62,21.987,,,
135,05/25/23 01:28:51 PM,21.62,21.987,,,
136,05/25/23 01:28:52 PM,21.28,21.987,,,
137,05/25/23 01:28:53 PM,21.28,21.963,,,
138,05/25/23 01:28:54 PM,21.62,21.963,,,
139,05/25/23 01:28:55 PM,21.28,21.987,,,
140,05/25/23 01:28:56 PM,21.62,21.987,,,
141,05/25/23 01:28:57 PM,21.28,21.987,,,
142,05/25/23 01:28:58 PM,21.62,21.987,,,
143,05/25/23 01:28:59 PM,21.62,21.987,,,
144,05/25/23 01:29:00 PM,21.28,21.987,,,
145,05/25/23 01:29:01 PM,21.28,21.963,,,
146,05/25/23 01:29:02 PM,21.62,21.963,,,
147,05/25/23 01:29:03 PM,21.62,21.987,,,
148,05/25/23 01:29:04 PM,21.62,21.987,,,
149,05/25/23 01:29:05 PM,21.62,21.963,,,
150,05/25/23 01:29:06 PM,21.96,21.963,,,
151,05/25/23 01:29:07 PM,21.96,21.987,,,
152,05/25/23 01:29:08 PM,21.96,21.987,,,
153,05/25/23 01:29:09 PM,21.96,21.987,,,
154,05/25/23 01:29:10 PM,22.29,21.987,,,
155,05/25/23 01:29:11 PM,22.29,21.987,,,
156,05/25/23 01:29:12 PM,22.29,21.987,,,
157,05/25/23 01:29:13 PM,22.63,21.987,,,
158,05/25/23 01:29:14 PM,22.63,21.987,,,
159,05/25/23 01:29:15 PM,22.63,21.987,,,
