"Plot Title: flam.left"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: k)","Temp, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: temp)","Host Connected (LGR S/N: 1253388)","Stopped (LGR S/N: 1253388)","End Of File (LGR S/N: 1253388)"
1,05/28/23 11:26:21 AM,21.62,21.795,,,
2,05/28/23 11:26:22 AM,21.62,21.795,,,
3,05/28/23 11:26:23 AM,21.62,21.795,,,
4,05/28/23 11:26:24 AM,21.62,21.795,,,
5,05/28/23 11:26:25 AM,21.96,21.819,,,
6,05/28/23 11:26:26 AM,21.96,21.819,,,
7,05/28/23 11:26:27 AM,21.96,21.819,,,
8,05/28/23 11:26:28 AM,21.62,21.843,,,
9,05/28/23 11:26:29 AM,21.62,21.843,,,
10,05/28/23 11:26:30 AM,21.62,21.843,,,
11,05/28/23 11:26:31 AM,21.62,21.843,,,
12,05/28/23 11:26:32 AM,21.96,21.867,,,
13,05/28/23 11:26:33 AM,21.96,21.867,,,
14,05/28/23 11:26:34 AM,21.62,21.867,,,
15,05/28/23 11:26:35 AM,21.96,21.867,,,
16,05/28/23 11:26:36 AM,21.62,21.891,,,
17,05/28/23 11:26:37 AM,21.96,21.891,,,
18,05/28/23 11:26:38 AM,21.96,21.891,,,
19,05/28/23 11:26:39 AM,21.96,21.891,,,
20,05/28/23 11:26:40 AM,21.96,21.891,,,
21,05/28/23 11:26:41 AM,21.96,21.915,,,
22,05/28/23 11:26:42 AM,21.96,21.915,,,
23,05/28/23 11:26:43 AM,21.96,21.915,,,
24,05/28/23 11:26:44 AM,21.96,21.915,,,
25,05/28/23 11:26:45 AM,21.96,21.915,,,
26,05/28/23 11:26:46 AM,21.96,21.939,,,
27,05/28/23 11:26:47 AM,21.96,21.939,,,
28,05/28/23 11:26:48 AM,21.96,21.939,,,
29,05/28/23 11:26:49 AM,21.96,21.939,,,
30,05/28/23 11:26:50 AM,21.96,21.939,,,
31,05/28/23 11:26:51 AM,21.96,21.939,,,
32,05/28/23 11:26:52 AM,21.96,21.939,,,
33,05/28/23 11:26:53 AM,21.96,21.963,,,
34,05/28/23 11:26:54 AM,21.62,21.939,,,
35,05/28/23 11:26:55 AM,21.96,21.963,,,
36,05/28/23 11:26:56 AM,21.96,21.963,,,
37,05/28/23 11:26:57 AM,21.96,21.963,,,
38,05/28/23 11:26:58 AM,21.96,21.963,,,
39,05/28/23 11:26:59 AM,21.96,21.963,,,
40,05/28/23 11:27:00 AM,21.96,21.963,,,
41,05/28/23 11:27:01 AM,21.96,21.963,,,
42,05/28/23 11:27:02 AM,21.96,21.963,,,
43,05/28/23 11:27:03 AM,21.96,21.963,,,
44,05/28/23 11:27:04 AM,21.96,21.963,,,
45,05/28/23 11:27:05 AM,21.96,21.963,,,
46,05/28/23 11:27:06 AM,21.96,21.963,,,
47,05/28/23 11:27:07 AM,21.96,21.963,,,
48,05/28/23 11:27:08 AM,21.96,21.963,,,
49,05/28/23 11:27:09 AM,21.96,21.963,,,
50,05/28/23 11:27:10 AM,21.96,21.963,,,
51,05/28/23 11:27:11 AM,21.62,21.963,,,
52,05/28/23 11:27:12 AM,21.96,21.963,,,
53,05/28/23 11:27:13 AM,21.96,21.963,,,
54,05/28/23 11:27:14 AM,21.96,21.963,,,
55,05/28/23 11:27:15 AM,21.96,21.963,,,
56,05/28/23 11:27:16 AM,21.96,21.963,,,
57,05/28/23 11:27:17 AM,21.96,21.963,,,
58,05/28/23 11:27:18 AM,21.96,21.963,,,
59,05/28/23 11:27:19 AM,21.62,21.963,,,
60,05/28/23 11:27:20 AM,21.96,21.963,,,
61,05/28/23 11:27:21 AM,21.62,21.963,,,
62,05/28/23 11:27:22 AM,21.96,21.963,,,
63,05/28/23 11:27:23 AM,21.96,21.963,,,
64,05/28/23 11:27:24 AM,21.96,21.963,,,
65,05/28/23 11:27:25 AM,21.96,21.963,,,
66,05/28/23 11:27:26 AM,21.62,21.963,,,
67,05/28/23 11:27:27 AM,21.96,21.963,,,
68,05/28/23 11:27:28 AM,21.62,21.963,,,
69,05/28/23 11:27:29 AM,21.62,21.963,,,
70,05/28/23 11:27:30 AM,21.96,21.963,,,
71,05/28/23 11:27:31 AM,21.96,21.963,,,
72,05/28/23 11:27:32 AM,21.96,21.963,,,
73,05/28/23 11:27:33 AM,21.96,21.963,,,
74,05/28/23 11:27:34 AM,21.96,21.963,,,
75,05/28/23 11:27:35 AM,21.62,21.963,,,
76,05/28/23 11:27:36 AM,21.62,21.963,,,
77,05/28/23 11:27:37 AM,21.96,21.963,,,
78,05/28/23 11:27:38 AM,21.96,21.963,,,
79,05/28/23 11:27:39 AM,21.96,21.963,,,
80,05/28/23 11:27:40 AM,21.62,21.963,,,
81,05/28/23 11:27:41 AM,21.62,21.963,,,
82,05/28/23 11:27:42 AM,21.96,21.963,,,
83,05/28/23 11:27:43 AM,21.96,21.963,,,
84,05/28/23 11:27:44 AM,21.96,21.963,,,
85,05/28/23 11:27:45 AM,21.62,21.963,,,
86,05/28/23 11:27:46 AM,21.62,21.963,,,
87,05/28/23 11:27:47 AM,21.62,21.963,,,
88,05/28/23 11:27:48 AM,21.96,21.963,,,
89,05/28/23 11:27:49 AM,21.62,21.963,,,
90,05/28/23 11:27:50 AM,21.96,21.963,,,
91,05/28/23 11:27:51 AM,21.62,21.963,,,
92,05/28/23 11:27:52 AM,21.62,21.963,,,
93,05/28/23 11:27:53 AM,21.96,21.963,,,
94,05/28/23 11:27:54 AM,21.62,21.963,,,
95,05/28/23 11:27:55 AM,21.62,21.963,,,
96,05/28/23 11:27:56 AM,21.96,21.963,,,
97,05/28/23 11:27:57 AM,21.62,21.963,,,
98,05/28/23 11:27:58 AM,21.62,21.963,,,
