"Plot Title: flam.right"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247374, SEN S/N: 2247374, LBL: k)","Temp, °C (LGR S/N: 2247374, SEN S/N: 2247374, LBL: temp)","Host Connected (LGR S/N: 2247374)","Stopped (LGR S/N: 2247374)","End Of File (LGR S/N: 2247374)"
1,06/08/23 01:49:13 PM,21.28,21.676,,,
2,06/08/23 01:49:14 PM,21.28,21.676,,,
3,06/08/23 01:49:15 PM,21.28,21.700,,,
4,06/08/23 01:49:16 PM,21.28,21.700,,,
5,06/08/23 01:49:17 PM,21.28,21.700,,,
6,06/08/23 01:49:18 PM,21.28,21.724,,,
7,06/08/23 01:49:19 PM,21.28,21.724,,,
8,06/08/23 01:49:20 PM,21.28,21.748,,,
9,06/08/23 01:49:21 PM,21.28,21.748,,,
10,06/08/23 01:49:22 PM,21.28,21.748,,,
11,06/08/23 01:49:23 PM,21.28,21.748,,,
12,06/08/23 01:49:24 PM,21.28,21.772,,,
13,06/08/23 01:49:25 PM,21.28,21.772,,,
14,06/08/23 01:49:26 PM,21.28,21.795,,,
15,06/08/23 01:49:27 PM,21.28,21.795,,,
16,06/08/23 01:49:28 PM,21.28,21.795,,,
17,06/08/23 01:49:29 PM,21.28,21.819,,,
18,06/08/23 01:49:30 PM,21.28,21.819,,,
19,06/08/23 01:49:31 PM,21.28,21.819,,,
20,06/08/23 01:49:32 PM,21.28,21.843,,,
21,06/08/23 01:49:33 PM,21.28,21.843,,,
22,06/08/23 01:49:34 PM,21.62,21.843,,,
23,06/08/23 01:49:35 PM,21.28,21.843,,,
24,06/08/23 01:49:36 PM,21.28,21.843,,,
25,06/08/23 01:49:37 PM,21.28,21.867,,,
26,06/08/23 01:49:38 PM,21.62,21.867,,,
27,06/08/23 01:49:39 PM,21.28,21.891,,,
28,06/08/23 01:49:40 PM,21.28,21.891,,,
29,06/08/23 01:49:41 PM,21.28,21.891,,,
30,06/08/23 01:49:42 PM,21.62,21.891,,,
31,06/08/23 01:49:43 PM,21.28,21.891,,,
32,06/08/23 01:49:44 PM,21.28,21.891,,,
33,06/08/23 01:49:45 PM,21.62,21.915,,,
34,06/08/23 01:49:46 PM,21.28,21.915,,,
35,06/08/23 01:49:47 PM,21.28,21.915,,,
36,06/08/23 01:49:48 PM,21.28,21.915,,,
37,06/08/23 01:49:49 PM,21.28,21.915,,,
38,06/08/23 01:49:50 PM,21.28,21.915,,,
39,06/08/23 01:49:51 PM,21.62,21.939,,,
40,06/08/23 01:49:52 PM,21.28,21.939,,,
41,06/08/23 01:49:53 PM,21.28,21.939,,,
42,06/08/23 01:49:54 PM,21.28,21.939,,,
43,06/08/23 01:49:55 PM,21.28,21.939,,,
44,06/08/23 01:49:56 PM,21.28,21.939,,,
45,06/08/23 01:49:57 PM,21.28,21.939,,,
46,06/08/23 01:49:58 PM,21.28,21.939,,,
47,06/08/23 01:49:59 PM,21.28,21.963,,,
48,06/08/23 01:50:00 PM,21.28,21.963,,,
49,06/08/23 01:50:01 PM,21.62,21.963,,,
50,06/08/23 01:50:02 PM,21.28,21.963,,,
51,06/08/23 01:50:03 PM,21.62,21.963,,,
52,06/08/23 01:50:04 PM,21.28,21.963,,,
53,06/08/23 01:50:05 PM,21.28,21.963,,,
54,06/08/23 01:50:06 PM,21.28,21.963,,,
55,06/08/23 01:50:07 PM,21.28,21.963,,,
56,06/08/23 01:50:08 PM,21.62,21.987,,,
57,06/08/23 01:50:09 PM,21.28,21.987,,,
58,06/08/23 01:50:10 PM,21.62,21.987,,,
59,06/08/23 01:50:11 PM,21.28,21.987,,,
60,06/08/23 01:50:12 PM,21.28,21.987,,,
61,06/08/23 01:50:13 PM,21.28,21.987,,,
62,06/08/23 01:50:14 PM,21.28,21.987,,,
63,06/08/23 01:50:15 PM,21.28,21.987,,,
64,06/08/23 01:50:16 PM,21.62,21.987,,,
65,06/08/23 01:50:17 PM,21.28,21.987,,,
66,06/08/23 01:50:18 PM,21.28,21.987,,,
67,06/08/23 01:50:19 PM,21.28,21.987,,,
68,06/08/23 01:50:20 PM,21.28,21.987,,,
69,06/08/23 01:50:21 PM,21.28,21.987,,,
70,06/08/23 01:50:22 PM,21.28,21.987,,,
71,06/08/23 01:50:23 PM,21.28,21.987,,,
72,06/08/23 01:50:24 PM,21.28,21.987,,,
73,06/08/23 01:50:25 PM,21.28,22.011,,,
74,06/08/23 01:50:26 PM,21.28,22.011,,,
75,06/08/23 01:50:27 PM,21.28,22.011,,,
76,06/08/23 01:50:28 PM,21.28,22.011,,,
77,06/08/23 01:50:29 PM,21.28,22.011,,,
78,06/08/23 01:50:30 PM,21.28,22.011,,,
79,06/08/23 01:50:31 PM,21.28,22.011,,,
80,06/08/23 01:50:32 PM,21.28,22.011,,,
81,06/08/23 01:50:33 PM,21.28,22.011,,,
82,06/08/23 01:50:34 PM,21.28,22.011,,,
83,06/08/23 01:50:35 PM,21.28,22.011,,,
84,06/08/23 01:50:36 PM,21.28,22.011,,,
85,06/08/23 01:50:37 PM,21.28,22.011,,,
86,06/08/23 01:50:38 PM,21.62,22.011,,,
87,06/08/23 01:50:39 PM,21.96,22.011,,,
88,06/08/23 01:50:40 PM,21.96,22.011,,,
89,06/08/23 01:50:41 PM,21.96,22.011,,,
90,06/08/23 01:50:42 PM,22.29,22.011,,,
91,06/08/23 01:50:43 PM,22.29,22.011,,,
92,06/08/23 01:50:44 PM,22.63,22.011,,,
93,06/08/23 01:50:45 PM,22.63,22.034,,,
94,06/08/23 01:50:46 PM,22.63,22.011,,,
95,06/08/23 01:50:47 PM,22.97,22.034,,,
96,06/08/23 01:50:48 PM,22.97,22.034,,,
97,06/08/23 01:50:49 PM,23.30,22.034,,,
98,06/08/23 01:50:50 PM,23.30,22.034,,,
99,06/08/23 01:50:51 PM,23.30,22.034,,,
100,06/08/23 01:50:52 PM,23.30,22.034,,,
101,06/08/23 01:50:53 PM,23.64,22.034,,,
102,06/08/23 01:50:54 PM,23.64,22.034,,,
103,06/08/23 01:50:55 PM,23.98,22.034,,,
104,06/08/23 01:50:56 PM,23.64,22.034,,,
105,06/08/23 01:50:57 PM,23.98,22.058,,,
106,06/08/23 01:50:58 PM,23.98,22.058,,,
107,06/08/23 01:50:59 PM,23.98,22.082,,,
108,06/08/23 01:51:00 PM,24.31,22.082,,,
109,06/08/23 01:51:01 PM,24.31,22.082,,,
110,06/08/23 01:51:02 PM,24.31,22.082,,,
111,06/08/23 01:51:03 PM,24.31,22.082,,,
112,06/08/23 01:51:04 PM,24.31,22.106,,,
113,06/08/23 01:51:05 PM,24.65,22.106,,,
114,06/08/23 01:51:06 PM,24.65,22.106,,,
115,06/08/23 01:51:07 PM,24.65,22.130,,,
116,06/08/23 01:51:08 PM,24.98,22.130,,,
117,06/08/23 01:51:09 PM,24.98,22.130,,,
118,06/08/23 01:51:10 PM,24.98,22.154,,,
119,06/08/23 01:51:11 PM,24.98,22.154,,,
120,06/08/23 01:51:12 PM,24.98,22.154,,,
121,06/08/23 01:51:13 PM,25.32,22.178,,,
122,06/08/23 01:51:14 PM,25.32,22.178,,,
123,06/08/23 01:51:15 PM,25.32,22.202,,,
124,06/08/23 01:51:16 PM,25.32,22.202,,,
125,06/08/23 01:51:17 PM,25.32,22.226,,,
126,06/08/23 01:51:18 PM,25.32,22.226,,,
127,06/08/23 01:51:19 PM,25.65,22.250,,,
128,06/08/23 01:51:20 PM,25.65,22.250,,,
129,06/08/23 01:51:21 PM,25.65,22.274,,,
130,06/08/23 01:51:22 PM,25.65,22.274,,,
131,06/08/23 01:51:23 PM,25.65,22.298,,,
132,06/08/23 01:51:24 PM,25.65,22.298,,,
133,06/08/23 01:51:25 PM,25.99,22.321,,,
134,06/08/23 01:51:26 PM,25.99,22.321,,,
135,06/08/23 01:51:27 PM,25.99,22.345,,,
136,06/08/23 01:51:28 PM,26.33,22.369,,,
137,06/08/23 01:51:29 PM,25.99,22.369,,,
138,06/08/23 01:51:30 PM,26.33,22.393,,,
139,06/08/23 01:51:31 PM,26.33,22.393,,,
140,06/08/23 01:51:32 PM,26.33,22.417,,,
141,06/08/23 01:51:33 PM,26.33,22.441,,,
142,06/08/23 01:51:34 PM,26.66,22.441,,,
143,06/08/23 01:51:35 PM,26.66,22.465,,,
144,06/08/23 01:51:36 PM,26.66,22.489,,,
145,06/08/23 01:51:37 PM,26.66,22.513,,,
146,06/08/23 01:51:38 PM,26.66,22.513,,,
147,06/08/23 01:51:39 PM,26.66,22.537,,,
148,06/08/23 01:51:40 PM,27.00,22.537,,,
149,06/08/23 01:51:41 PM,27.00,22.561,,,
150,06/08/23 01:51:42 PM,27.00,22.585,,,
151,06/08/23 01:51:43 PM,27.00,22.609,,,
152,06/08/23 01:51:44 PM,27.00,22.633,,,
153,06/08/23 01:51:45 PM,27.00,22.633,,,
154,06/08/23 01:51:46 PM,27.00,22.657,,,
155,06/08/23 01:51:47 PM,27.00,22.681,,,
156,06/08/23 01:51:48 PM,27.33,22.705,,,
157,06/08/23 01:51:49 PM,27.33,22.729,,,
158,06/08/23 01:51:50 PM,27.33,22.753,,,
159,06/08/23 01:51:51 PM,27.33,22.753,,,
160,06/08/23 01:51:52 PM,27.33,22.776,,,
161,06/08/23 01:51:53 PM,27.33,22.800,,,
162,06/08/23 01:51:54 PM,27.33,22.824,,,
163,06/08/23 01:51:55 PM,27.33,22.848,,,
164,06/08/23 01:51:56 PM,27.67,22.872,,,
165,06/08/23 01:51:57 PM,27.67,22.896,,,
166,06/08/23 01:51:58 PM,27.67,22.920,,,
167,06/08/23 01:51:59 PM,27.67,22.920,,,
168,06/08/23 01:52:00 PM,27.67,22.968,,,
169,06/08/23 01:52:01 PM,27.67,22.968,,,
170,06/08/23 01:52:02 PM,27.67,22.992,,,
171,06/08/23 01:52:03 PM,27.67,23.016,,,
172,06/08/23 01:52:04 PM,27.67,23.064,,,
173,06/08/23 01:52:05 PM,27.67,23.064,,,
174,06/08/23 01:52:06 PM,27.67,23.088,,,
175,06/08/23 01:52:07 PM,27.67,23.112,,,
176,06/08/23 01:52:08 PM,27.67,23.136,,,
177,06/08/23 01:52:09 PM,27.67,23.160,,,
178,06/08/23 01:52:10 PM,27.67,23.184,,,
179,06/08/23 01:52:11 PM,27.67,23.208,,,
180,06/08/23 01:52:12 PM,27.67,23.232,,,
181,06/08/23 01:52:13 PM,27.67,23.256,,,
182,06/08/23 01:52:14 PM,27.67,23.280,,,
183,06/08/23 01:52:15 PM,27.67,23.304,,,
184,06/08/23 01:52:16 PM,27.67,23.328,,,
185,06/08/23 01:52:17 PM,27.67,23.352,,,
186,06/08/23 01:52:18 PM,28.00,23.400,,,
187,06/08/23 01:52:19 PM,28.00,23.400,,,
188,06/08/23 01:52:20 PM,28.00,23.448,,,
189,06/08/23 01:52:21 PM,28.00,23.472,,,
190,06/08/23 01:52:22 PM,28.00,23.497,,,
191,06/08/23 01:52:23 PM,28.00,23.521,,,
192,06/08/23 01:52:24 PM,28.00,23.545,,,
193,06/08/23 01:52:25 PM,28.00,23.569,,,
194,06/08/23 01:52:26 PM,28.00,23.593,,,
195,06/08/23 01:52:27 PM,28.00,23.617,,,
196,06/08/23 01:52:28 PM,28.34,23.641,,,
197,06/08/23 01:52:29 PM,28.34,23.665,,,
198,06/08/23 01:52:30 PM,28.34,23.689,,,
199,06/08/23 01:52:31 PM,28.34,23.737,,,
200,06/08/23 01:52:32 PM,28.34,23.761,,,
201,06/08/23 01:52:33 PM,28.34,23.785,,,
202,06/08/23 01:52:34 PM,28.34,23.809,,,
203,06/08/23 01:52:35 PM,28.34,23.833,,,
204,06/08/23 01:52:36 PM,28.34,23.857,,,
205,06/08/23 01:52:37 PM,28.34,23.905,,,
206,06/08/23 01:52:38 PM,28.34,23.930,,,
207,06/08/23 01:52:39 PM,28.34,23.954,,,
208,06/08/23 01:52:40 PM,28.34,23.978,,,
209,06/08/23 01:52:41 PM,28.34,24.002,,,
210,06/08/23 01:52:42 PM,28.34,24.026,,,
211,06/08/23 01:52:43 PM,28.67,24.074,,,
212,06/08/23 01:52:44 PM,28.67,24.098,,,
213,06/08/23 01:52:45 PM,28.67,24.122,,,
214,06/08/23 01:52:46 PM,28.67,24.146,,,
215,06/08/23 01:52:47 PM,28.67,24.195,,,
216,06/08/23 01:52:48 PM,28.67,24.219,,,
217,06/08/23 01:52:49 PM,28.67,24.243,,,
218,06/08/23 01:52:50 PM,34.68,24.291,,,
219,06/08/23 01:52:51 PM,40.32,24.315,,,
220,06/08/23 01:52:52 PM,42.30,24.339,,,
221,06/08/23 01:52:53 PM,44.95,24.388,,,
222,06/08/23 01:52:54 PM,47.58,24.412,,,
223,06/08/23 01:52:55 PM,50.87,24.436,,,
224,06/08/23 01:52:56 PM,53.17,24.484,,,
225,06/08/23 01:52:57 PM,52.18,24.508,,,
226,06/08/23 01:52:58 PM,52.18,24.532,,,
227,06/08/23 01:52:59 PM,50.87,24.581,,,
228,06/08/23 01:53:00 PM,50.21,24.605,,,
229,06/08/23 01:53:01 PM,50.87,24.629,,,
230,06/08/23 01:53:02 PM,50.87,24.653,,,
231,06/08/23 01:53:03 PM,49.88,24.677,,,
232,06/08/23 01:53:04 PM,49.88,24.726,,,
233,06/08/23 01:53:05 PM,49.56,24.750,,,
234,06/08/23 01:53:06 PM,49.23,24.774,,,
235,06/08/23 01:53:07 PM,48.90,24.798,,,
236,06/08/23 01:53:08 PM,48.57,24.847,,,
237,06/08/23 01:53:09 PM,48.90,24.871,,,
238,06/08/23 01:53:10 PM,48.90,24.895,,,
239,06/08/23 01:53:11 PM,48.57,24.919,,,
240,06/08/23 01:53:12 PM,47.91,24.944,,,
241,06/08/23 01:53:13 PM,46.92,24.968,,,
242,06/08/23 01:53:14 PM,46.59,25.016,,,
243,06/08/23 01:53:15 PM,45.94,25.040,,,
244,06/08/23 01:53:16 PM,45.94,25.065,,,
245,06/08/23 01:53:17 PM,46.26,25.089,,,
246,06/08/23 01:53:18 PM,45.94,25.113,,,
247,06/08/23 01:53:19 PM,46.59,25.162,,,
248,06/08/23 01:53:20 PM,47.58,25.162,,,
249,06/08/23 01:53:21 PM,48.24,25.210,,,
250,06/08/23 01:53:22 PM,49.88,25.234,,,
251,06/08/23 01:53:23 PM,51.85,25.258,,,
252,06/08/23 01:53:24 PM,52.84,25.283,,,
253,06/08/23 01:53:25 PM,53.82,25.307,,,
254,06/08/23 01:53:26 PM,55.46,25.331,,,
255,06/08/23 01:53:27 PM,55.79,25.380,,,
256,06/08/23 01:53:28 PM,56.12,25.404,,,
257,06/08/23 01:53:29 PM,56.44,25.428,,,
258,06/08/23 01:53:30 PM,57.75,25.453,,,
259,06/08/23 01:53:31 PM,60.37,25.477,,,
260,06/08/23 01:53:32 PM,64.61,25.501,,,
261,06/08/23 01:53:33 PM,64.28,25.550,,,
262,06/08/23 01:53:34 PM,65.26,25.574,,,
263,06/08/23 01:53:35 PM,64.61,25.598,,,
264,06/08/23 01:53:36 PM,64.28,25.623,,,
265,06/08/23 01:53:37 PM,64.28,25.647,,,
266,06/08/23 01:53:38 PM,64.94,25.671,,,
267,06/08/23 01:53:39 PM,65.26,25.695,,,
268,06/08/23 01:53:40 PM,64.94,25.720,,,
269,06/08/23 01:53:41 PM,66.89,25.744,,,
270,06/08/23 01:53:42 PM,69.18,25.793,,,
271,06/08/23 01:53:43 PM,70.15,25.817,,,
272,06/08/23 01:53:44 PM,70.81,25.841,,,
273,06/08/23 01:53:45 PM,70.48,25.890,,,
274,06/08/23 01:53:46 PM,69.83,25.914,,,
275,06/08/23 01:53:47 PM,68.52,25.939,,,
276,06/08/23 01:53:48 PM,67.87,25.963,,,
277,06/08/23 01:53:49 PM,67.55,25.987,,,
278,06/08/23 01:53:50 PM,67.87,26.036,,,
279,06/08/23 01:53:51 PM,67.22,26.061,,,
280,06/08/23 01:53:52 PM,66.89,26.085,,,
281,06/08/23 01:53:53 PM,66.57,26.109,,,
282,06/08/23 01:53:54 PM,66.24,26.158,,,
283,06/08/23 01:53:55 PM,66.24,26.182,,,
284,06/08/23 01:53:56 PM,66.24,26.182,,,
285,06/08/23 01:53:57 PM,66.24,26.231,,,
286,06/08/23 01:53:58 PM,66.57,26.256,,,
287,06/08/23 01:53:59 PM,66.57,26.280,,,
