"Plot Title: flam.mid"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1282995, SEN S/N: 1282995, LBL: k)","Temp, °C (LGR S/N: 1282995, SEN S/N: 1282995, LBL: temp)","Host Connected (LGR S/N: 1282995)","Stopped (LGR S/N: 1282995)","End Of File (LGR S/N: 1282995)"
1,06/17/23 12:43:04 PM,34.34,35.208,,,
2,06/17/23 12:43:05 PM,34.34,35.235,,,
3,06/17/23 12:43:06 PM,34.01,35.235,,,
4,06/17/23 12:43:07 PM,34.34,35.235,,,
5,06/17/23 12:43:08 PM,34.34,35.262,,,
6,06/17/23 12:43:09 PM,34.34,35.262,,,
7,06/17/23 12:43:10 PM,34.34,35.262,,,
8,06/17/23 12:43:11 PM,34.01,35.262,,,
9,06/17/23 12:43:12 PM,34.34,35.262,,,
10,06/17/23 12:43:13 PM,34.34,35.288,,,
11,06/17/23 12:43:14 PM,34.34,35.288,,,
12,06/17/23 12:43:15 PM,34.34,35.288,,,
13,06/17/23 12:43:16 PM,34.34,35.315,,,
14,06/17/23 12:43:17 PM,34.34,35.315,,,
15,06/17/23 12:43:18 PM,34.34,35.315,,,
16,06/17/23 12:43:19 PM,34.34,35.315,,,
17,06/17/23 12:43:20 PM,34.34,35.342,,,
18,06/17/23 12:43:21 PM,34.34,35.342,,,
19,06/17/23 12:43:22 PM,34.34,35.342,,,
20,06/17/23 12:43:23 PM,34.34,35.368,,,
21,06/17/23 12:43:24 PM,34.34,35.368,,,
22,06/17/23 12:43:25 PM,34.34,35.368,,,
23,06/17/23 12:43:26 PM,34.68,35.368,,,
24,06/17/23 12:43:27 PM,34.68,35.368,,,
25,06/17/23 12:43:28 PM,34.68,35.368,,,
26,06/17/23 12:43:29 PM,34.68,35.395,,,
27,06/17/23 12:43:30 PM,34.68,35.395,,,
28,06/17/23 12:43:31 PM,34.68,35.395,,,
29,06/17/23 12:43:32 PM,34.68,35.395,,,
30,06/17/23 12:43:33 PM,34.68,35.395,,,
31,06/17/23 12:43:34 PM,34.68,35.395,,,
32,06/17/23 12:43:35 PM,34.68,35.395,,,
33,06/17/23 12:43:36 PM,34.68,35.422,,,
34,06/17/23 12:43:37 PM,34.68,35.422,,,
35,06/17/23 12:43:38 PM,34.68,35.422,,,
36,06/17/23 12:43:39 PM,34.68,35.422,,,
37,06/17/23 12:43:40 PM,34.68,35.422,,,
38,06/17/23 12:43:41 PM,34.68,35.422,,,
39,06/17/23 12:43:42 PM,34.68,35.422,,,
40,06/17/23 12:43:43 PM,35.01,35.422,,,
41,06/17/23 12:43:44 PM,34.68,35.422,,,
42,06/17/23 12:43:45 PM,34.68,35.422,,,
43,06/17/23 12:43:46 PM,34.68,35.422,,,
44,06/17/23 12:43:47 PM,35.01,35.422,,,
45,06/17/23 12:43:48 PM,34.68,35.422,,,
46,06/17/23 12:43:49 PM,34.68,35.422,,,
47,06/17/23 12:43:50 PM,34.68,35.422,,,
48,06/17/23 12:43:51 PM,34.68,35.422,,,
49,06/17/23 12:43:52 PM,34.68,35.422,,,
50,06/17/23 12:43:53 PM,34.68,35.422,,,
51,06/17/23 12:43:54 PM,34.68,35.422,,,
52,06/17/23 12:43:55 PM,34.68,35.422,,,
53,06/17/23 12:43:56 PM,34.68,35.422,,,
54,06/17/23 12:43:57 PM,34.68,35.422,,,
55,06/17/23 12:43:58 PM,34.68,35.422,,,
56,06/17/23 12:43:59 PM,34.68,35.422,,,
57,06/17/23 12:44:00 PM,34.68,35.395,,,
58,06/17/23 12:44:01 PM,34.68,35.395,,,
59,06/17/23 12:44:02 PM,34.68,35.395,,,
60,06/17/23 12:44:03 PM,34.68,35.395,,,
61,06/17/23 12:44:04 PM,34.68,35.395,,,
62,06/17/23 12:44:05 PM,34.68,35.395,,,
63,06/17/23 12:44:06 PM,34.34,35.395,,,
64,06/17/23 12:44:07 PM,34.34,35.395,,,
65,06/17/23 12:44:08 PM,34.34,35.368,,,
66,06/17/23 12:44:09 PM,34.34,35.368,,,
67,06/17/23 12:44:10 PM,34.68,35.368,,,
68,06/17/23 12:44:11 PM,34.68,35.368,,,
69,06/17/23 12:44:12 PM,34.68,35.368,,,
70,06/17/23 12:44:13 PM,34.34,35.368,,,
71,06/17/23 12:44:14 PM,34.34,35.368,,,
72,06/17/23 12:44:15 PM,34.34,35.368,,,
73,06/17/23 12:44:16 PM,34.34,35.368,,,
74,06/17/23 12:44:17 PM,34.34,35.342,,,
75,06/17/23 12:44:18 PM,34.68,35.342,,,
76,06/17/23 12:44:19 PM,34.34,35.368,,,
77,06/17/23 12:44:20 PM,34.34,35.342,,,
78,06/17/23 12:44:21 PM,34.34,35.342,,,
79,06/17/23 12:44:22 PM,34.34,35.342,,,
80,06/17/23 12:44:23 PM,34.34,35.315,,,
81,06/17/23 12:44:24 PM,34.34,35.315,,,
82,06/17/23 12:44:25 PM,34.34,35.315,,,
83,06/17/23 12:44:26 PM,34.34,35.315,,,
84,06/17/23 12:44:27 PM,34.34,35.315,,,
85,06/17/23 12:44:28 PM,34.34,35.315,,,
86,06/17/23 12:44:29 PM,34.34,35.315,,,
87,06/17/23 12:44:30 PM,34.34,35.315,,,
88,06/17/23 12:44:31 PM,34.34,35.288,,,
89,06/17/23 12:44:32 PM,34.34,35.288,,,
90,06/17/23 12:44:33 PM,34.34,35.288,,,
91,06/17/23 12:44:34 PM,34.34,35.288,,,
92,06/17/23 12:44:35 PM,34.34,35.288,,,
93,06/17/23 12:44:36 PM,34.34,35.288,,,
94,06/17/23 12:44:37 PM,34.34,35.288,,,
95,06/17/23 12:44:38 PM,34.34,35.288,,,
96,06/17/23 12:44:39 PM,34.34,35.262,,,
97,06/17/23 12:44:40 PM,34.34,35.262,,,
98,06/17/23 12:44:41 PM,34.34,35.262,,,
99,06/17/23 12:44:42 PM,34.34,35.262,,,
100,06/17/23 12:44:43 PM,34.34,35.262,,,
101,06/17/23 12:44:44 PM,34.34,35.262,,,
102,06/17/23 12:44:45 PM,34.34,35.235,,,
103,06/17/23 12:44:46 PM,34.34,35.235,,,
104,06/17/23 12:44:47 PM,34.34,35.235,,,
105,06/17/23 12:44:48 PM,34.01,35.235,,,
106,06/17/23 12:44:49 PM,34.01,35.235,,,
107,06/17/23 12:44:50 PM,34.34,35.235,,,
