"Plot Title: flam.left"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: k)","Temp, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: temp)","Host Connected (LGR S/N: 1253388)","Stopped (LGR S/N: 1253388)","End Of File (LGR S/N: 1253388)"
1,06/17/23 05:13:34 PM,129.27,39.234,,,
2,06/17/23 05:13:35 PM,128.27,39.234,,,
3,06/17/23 05:13:36 PM,129.60,39.262,,,
4,06/17/23 05:13:37 PM,130.93,39.262,,,
5,06/17/23 05:13:38 PM,129.27,39.290,,,
6,06/17/23 05:13:39 PM,129.27,39.290,,,
7,06/17/23 05:13:40 PM,128.60,39.318,,,
8,06/17/23 05:13:41 PM,129.27,39.318,,,
9,06/17/23 05:13:42 PM,127.93,39.346,,,
10,06/17/23 05:13:43 PM,127.93,39.346,,,
11,06/17/23 05:13:44 PM,126.60,39.346,,,
12,06/17/23 05:13:45 PM,125.94,39.375,,,
13,06/17/23 05:13:46 PM,127.27,39.375,,,
14,06/17/23 05:13:47 PM,126.94,39.403,,,
15,06/17/23 05:13:48 PM,126.60,39.403,,,
16,06/17/23 05:13:49 PM,128.60,39.403,,,
17,06/17/23 05:13:50 PM,131.60,39.431,,,
18,06/17/23 05:13:51 PM,130.27,39.431,,,
19,06/17/23 05:13:52 PM,128.60,39.431,,,
20,06/17/23 05:13:53 PM,127.27,39.460,,,
21,06/17/23 05:13:54 PM,125.94,39.460,,,
22,06/17/23 05:13:55 PM,125.27,39.460,,,
23,06/17/23 05:13:56 PM,124.94,39.488,,,
24,06/17/23 05:13:57 PM,124.61,39.488,,,
25,06/17/23 05:13:58 PM,122.61,39.488,,,
26,06/17/23 05:13:59 PM,121.62,39.516,,,
27,06/17/23 05:14:00 PM,120.95,39.516,,,
28,06/17/23 05:14:01 PM,120.29,39.516,,,
29,06/17/23 05:14:02 PM,117.97,39.545,,,
30,06/17/23 05:14:03 PM,116.98,39.545,,,
31,06/17/23 05:14:04 PM,117.31,39.545,,,
32,06/17/23 05:14:05 PM,117.64,39.545,,,
33,06/17/23 05:14:06 PM,116.32,39.545,,,
34,06/17/23 05:14:07 PM,116.98,39.545,,,
35,06/17/23 05:14:08 PM,115.66,39.545,,,
36,06/17/23 05:14:09 PM,116.32,39.573,,,
37,06/17/23 05:14:10 PM,114.33,39.573,,,
38,06/17/23 05:14:11 PM,113.67,39.573,,,
39,06/17/23 05:14:12 PM,114.00,39.601,,,
40,06/17/23 05:14:13 PM,116.98,39.601,,,
41,06/17/23 05:14:14 PM,119.96,39.601,,,
42,06/17/23 05:14:15 PM,120.29,39.601,,,
43,06/17/23 05:14:16 PM,120.29,39.630,,,
44,06/17/23 05:14:17 PM,119.96,39.630,,,
45,06/17/23 05:14:18 PM,120.29,39.630,,,
46,06/17/23 05:14:19 PM,118.30,39.658,,,
47,06/17/23 05:14:20 PM,117.31,39.658,,,
48,06/17/23 05:14:21 PM,115.99,39.658,,,
49,06/17/23 05:14:22 PM,114.66,39.658,,,
50,06/17/23 05:14:23 PM,114.66,39.686,,,
51,06/17/23 05:14:24 PM,113.34,39.686,,,
52,06/17/23 05:14:25 PM,111.69,39.686,,,
53,06/17/23 05:14:26 PM,112.02,39.686,,,
54,06/17/23 05:14:27 PM,112.35,39.715,,,
55,06/17/23 05:14:28 PM,114.66,39.715,,,
56,06/17/23 05:14:29 PM,118.30,39.715,,,
57,06/17/23 05:14:30 PM,122.61,39.743,,,
58,06/17/23 05:14:31 PM,124.27,39.743,,,
59,06/17/23 05:14:32 PM,124.27,39.743,,,
60,06/17/23 05:14:33 PM,125.60,39.772,,,
61,06/17/23 05:14:34 PM,125.94,39.772,,,
62,06/17/23 05:14:35 PM,124.94,39.772,,,
63,06/17/23 05:14:36 PM,124.27,39.800,,,
64,06/17/23 05:14:37 PM,124.27,39.800,,,
65,06/17/23 05:14:38 PM,123.61,39.800,,,
66,06/17/23 05:14:39 PM,122.28,39.800,,,
67,06/17/23 05:14:40 PM,121.95,39.829,,,
68,06/17/23 05:14:41 PM,121.29,39.829,,,
69,06/17/23 05:14:42 PM,120.95,39.829,,,
70,06/17/23 05:14:43 PM,120.95,39.857,,,
71,06/17/23 05:14:44 PM,120.95,39.857,,,
72,06/17/23 05:14:45 PM,120.95,39.857,,,
73,06/17/23 05:14:46 PM,121.95,39.886,,,
74,06/17/23 05:14:47 PM,124.94,39.886,,,
75,06/17/23 05:14:48 PM,125.94,39.914,,,
76,06/17/23 05:14:49 PM,126.27,39.914,,,
77,06/17/23 05:14:50 PM,126.27,39.914,,,
78,06/17/23 05:14:51 PM,126.94,39.943,,,
79,06/17/23 05:14:52 PM,126.60,39.943,,,
80,06/17/23 05:14:53 PM,125.94,39.943,,,
81,06/17/23 05:14:54 PM,125.60,39.943,,,
82,06/17/23 05:14:55 PM,126.60,39.971,,,
83,06/17/23 05:14:56 PM,127.60,39.971,,,
84,06/17/23 05:14:57 PM,127.60,39.971,,,
85,06/17/23 05:14:58 PM,128.93,39.971,,,
86,06/17/23 05:14:59 PM,129.60,40.000,,,
87,06/17/23 05:15:00 PM,130.27,40.000,,,
88,06/17/23 05:15:01 PM,130.93,40.000,,,
89,06/17/23 05:15:02 PM,131.60,40.000,,,
90,06/17/23 05:15:03 PM,133.27,40.000,,,
91,06/17/23 05:15:04 PM,133.94,40.028,,,
92,06/17/23 05:15:05 PM,134.61,40.028,,,
93,06/17/23 05:15:06 PM,134.61,40.028,,,
94,06/17/23 05:15:07 PM,134.61,40.028,,,
95,06/17/23 05:15:08 PM,134.94,40.057,,,
96,06/17/23 05:15:09 PM,133.94,40.057,,,
97,06/17/23 05:15:10 PM,132.94,40.057,,,
98,06/17/23 05:15:11 PM,133.60,40.057,,,
99,06/17/23 05:15:12 PM,134.27,40.057,,,
100,06/17/23 05:15:13 PM,134.27,40.057,,,
101,06/17/23 05:15:14 PM,135.94,40.085,,,
102,06/17/23 05:15:15 PM,136.28,40.085,,,
103,06/17/23 05:15:16 PM,135.28,40.085,,,
104,06/17/23 05:15:17 PM,136.61,40.114,,,
105,06/17/23 05:15:18 PM,136.61,40.085,,,
106,06/17/23 05:15:19 PM,136.61,40.114,,,
107,06/17/23 05:15:20 PM,136.28,40.114,,,
108,06/17/23 05:15:21 PM,135.61,40.142,,,
109,06/17/23 05:15:22 PM,135.61,40.142,,,
110,06/17/23 05:15:23 PM,135.28,40.142,,,
111,06/17/23 05:15:24 PM,135.28,40.142,,,
112,06/17/23 05:15:25 PM,134.61,40.142,,,
113,06/17/23 05:15:26 PM,134.61,40.142,,,
114,06/17/23 05:15:27 PM,135.28,40.142,,,
115,06/17/23 05:15:28 PM,136.28,40.142,,,
116,06/17/23 05:15:29 PM,136.95,40.171,,,
117,06/17/23 05:15:30 PM,136.28,40.171,,,
118,06/17/23 05:15:31 PM,136.61,40.171,,,
119,06/17/23 05:15:32 PM,136.61,40.171,,,
120,06/17/23 05:15:33 PM,136.28,40.171,,,
121,06/17/23 05:15:34 PM,136.28,40.200,,,
122,06/17/23 05:15:35 PM,137.28,40.171,,,
123,06/17/23 05:15:36 PM,137.62,40.200,,,
124,06/17/23 05:15:37 PM,138.62,40.200,,,
125,06/17/23 05:15:38 PM,138.96,40.228,,,
126,06/17/23 05:15:39 PM,139.29,40.228,,,
127,06/17/23 05:15:40 PM,139.29,40.228,,,
128,06/17/23 05:15:41 PM,139.63,40.228,,,
129,06/17/23 05:15:42 PM,140.30,40.228,,,
130,06/17/23 05:15:43 PM,139.96,40.257,,,
131,06/17/23 05:15:44 PM,140.63,40.257,,,
132,06/17/23 05:15:45 PM,141.98,40.257,,,
133,06/17/23 05:15:46 PM,141.64,40.257,,,
134,06/17/23 05:15:47 PM,141.30,40.257,,,
135,06/17/23 05:15:48 PM,141.64,40.257,,,
136,06/17/23 05:15:49 PM,141.64,40.286,,,
137,06/17/23 05:15:50 PM,142.65,40.286,,,
138,06/17/23 05:15:51 PM,142.98,40.286,,,
139,06/17/23 05:15:52 PM,142.31,40.286,,,
140,06/17/23 05:15:53 PM,143.99,40.286,,,
141,06/17/23 05:15:54 PM,143.32,40.286,,,
142,06/17/23 05:15:55 PM,142.98,40.314,,,
143,06/17/23 05:15:56 PM,142.65,40.314,,,
144,06/17/23 05:15:57 PM,142.31,40.314,,,
145,06/17/23 05:15:58 PM,141.98,40.314,,,
146,06/17/23 05:15:59 PM,141.64,40.314,,,
147,06/17/23 05:16:00 PM,141.98,40.343,,,
148,06/17/23 05:16:01 PM,140.97,40.343,,,
149,06/17/23 05:16:02 PM,139.96,40.343,,,
150,06/17/23 05:16:03 PM,140.30,40.372,,,
151,06/17/23 05:16:04 PM,140.63,40.343,,,
152,06/17/23 05:16:05 PM,139.63,40.372,,,
153,06/17/23 05:16:06 PM,139.29,40.372,,,
