spcode,sample_id,fresh_mass,dry_mass,notes
JUPI,DK01,2.466,1.386,
PRGL2,DK02,1.06,0.517,
RHTR,DK03,0.397,0.178,
JUPI,DK04,4.4758,2.553,
PRGL2,DK05,0.258,0.157,
RHTR,DK06,0.3465,0.174,
JUPI,DK07,2.9511,1.7089,
PRGL2,DK08,0.3645,0.26,
RHTR,DK09,0.6325,0.351,
JUPI,DK10,2.468,1.492,
PRGL2,DK11,0.455,0.409,
RHTR,DK12,0.5024,0.256,
JUPI,DK13,3.635,2.3459,
PRGL2,DK14,1.264,0.895,
RHTR,DK15,0.479,0.249,
JUPI,DK16,3.079,1.6836,
PRGL2,DK17,0.361,0.236,
RHTR,DK18,0.388,0.239,
RHTR,PHTR1,0.212,0.12,
PRGL2,PRGL21,0.2892,0.2387,
JUPI,DK19,4.947,2.461,
PRGL2,DK20,0.235,0.118,
RHTR,DK21,0.618,0.333,
JUPI,DK22,1.617,0.98,
PRGL2,DK23,0.223,0.196,
RHTR,DK24,1.304,0.459,
JUPI,DK25,2.732,1.562,
PRGL2,DK26,0.205,0.192,
RHTR,DK27,0.317,0.153,
JUPI,DK28,1.787,1.203,
PRGL2,DK29,0.534,0.264,
RHTR,DK30,0.319,0.133,
JUPI,DK31,0.9143,0.532,
PRGL2,DK32,0.416,0.21,
RHTR,DK33,0.4686,0.273,
JUPI,DK34,4.3222,3.123,
PRGL2,DK35,0.3001,0.255,
RHTR,DK36,0.6984,0.448,
JUPI,DK37,3.97,2.129,
PRGL2,DK38,0.504,0.227,
RHTR,DK39,0.352,0.174,
JUPI,DK40,1.54,0.984,
PRGL2,DK41,0.262,0.193,
RHTR,DK42,0.448,0.248,
JUPI,DK43,1.368,0.788,
PRGL2,DK44,0.572,0.261,
RHTR,DK45,1.037,0.56,
JUPI,DK46,3.73,2.312,
PRGL2,DK47,0.327,0.142,
RHTR,DK48,0.367,0.166,
JUPI,DK49,1.019,0.593,
PRGL2,DK50,0.401,0.346,
RHTR,DK51,0.942,0.48,
JUPI,DK52,1.693,1.218,
PRGL2,DK53,0.262,0.23,
RHTR,DK54,1.047,0.675,
JUPI,JDK01,2.381,1.33,
JUPI,JDK02,1.446,0.8,
JUPI,JDK03,4.058,2.333,
JUPI,JDK04,3.488,2.034,
JUPI,JDK05,2.201,1.355,
JUPI,JDK06,1.813,1.102,
JUPI,JDK07,3.105,2.055,
JUPI,JDK08,1.318,0.874,
JUPI,JDK09,2.108,1.303,
JUPI,JDK10,2.401,1.56,
JUPI,DK55,4.039,2.405,
PRGL2,DK56,1.185,1.17,
RHTR,DK57,0.469,0.262,
JUPI,DK58,1.664,1.01,
PRGL2,DK59,0.189,0.172,
RHTR,DK60,0.27,0.134,
JUPI,DK61,1.039,0.63,
PRGL2,DK62,0.098,0.086,
RHTR,DK63,0.266,0.145,
JUPI,DK64,2.569,1.718,
PRGL2,DK65,0.657,0.344,
RHTR,DK66,0.45,0.232,
JUPI,DK67,1.996,1.071,
PRGL2,DK68,0.712,0.488,
RHTR,DK69,0.441,0.184,
JUPI,DK70,1.951,1.254,
PRGL2,DK71,0.307,0.301,
RHTR,DK72,0.586,0.387,
JUPI,JDK11,1.225,0.708,
JUPI,JDK12,1.41,0.728,
JUPI,JDK13,5.047,2.647,
JUPI,JDK14,3.775,2.223,
JUPI,JDK15,1.301,0.697,
JUPI,JDK16,1.62,0.881,
JUPI,JDK17,1.13,0.648,
JUPI,JDK18,2.994,1.743,
JUPI,JDK19,3.804,2.382,
JUPI,JDK20,3.267,2.137,
JUPI,DK73,2.08,1.333,
PRGL2,DK74,0.336,0.167,
RHTR,DK75,0.602,0.286,
JUPI,DK76,3.125,1.778,
PRGL2,DK77,0.629,0.324,
RHTR,DK78,0.577,0.283,
JUPI,DK79,2.07,1.196,
PRGL2,DK80,0.314,0.186,
RHTR,DK81,0.681,0.326,
JUPI,DK82,1.854,0.895,
PRGL2,DK83,0.999,0.464,
RHTR,DK84,0.758,0.303,
PRGL2,DK86,0.525,0.327,
RHTR,DK87,0.73,0.612,
JUPI,DK88,2.094,1.278,
PRGL2,DK89,0.204,0.188,
RHTR,DK90,0.809,0.434,
JUPI,JDK21,1.682,0.923,
JUPI,JDK22,1.488,0.843,
JUPI,JDK23,1.467,0.838,
JUPI,JDK24,2.279,1.215,
JUPI,JDK25,4.185,2.181,
JUPI,JDK26,3.853,2.268,
JUPI,JDK27,1.675,1.046,
JUPI,JDK28,2.186,1.369,
JUPI,JDK29,1.632,1.09,
JUPI,JDK30,2.71,1.867,
JUPI,DK91,2.468,1.337,
PRGL2,DK92,0.505,0.375,
RHTR,DK93,1.168,0.564,
JUPI,DK94,2.305,1.318,
PRGL2,DK95,0.338,0.226,
JUPI,DK97,2.682,1.628,
PRGL2,DK98,0.74,0.389,
RHTR,DK99,0.827,0.405,
JUPI,DK100,2.831,1.745,
PRGL2,DK101,0.65,0.337,
RHTR,DK102,0.774,0.374,
JUPI,DK103,1.711,1.027,
PRGL2,DK104,0.506,0.236,
RHTR,DK105,1.323,0.625,
JUPI,DK106,2.189,1.293,
PRGL2,DK107,0.226,0.194,
RHTR,DK108,0.867,0.665,
JUPI,JDK31,3.966,1.658,
JUPI,JDK32,1.599,0.836,
JUPI,JDK33,1.643,0.937,
JUPI,JDK34,4.049,2.308,
JUPI,JDK35,3.223,1.874,
JUPI,JDK36,6.839,3.416,
JUPI,JDK37,2.258,1.059,
JUPI,JDK38,3.66,2.136,
JUPI,JDK39,1.841,1.202,
JUPI,JDK40,1.598,0.907,
