"Plot Title: flam.left"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1282995, SEN S/N: 1282995, LBL: k)","Temp, °C (LGR S/N: 1282995, SEN S/N: 1282995, LBL: temp)","End Of File (LGR S/N: 1282995)"
1,05/04/24 08:44:44 AM,19.26,19.199,
2,05/04/24 08:44:45 AM,19.26,19.199,
3,05/04/24 08:44:46 AM,19.26,19.199,
4,05/04/24 08:44:47 AM,19.26,19.199,
5,05/04/24 08:44:48 AM,19.26,19.199,
6,05/04/24 08:44:49 AM,19.26,19.222,
7,05/04/24 08:44:50 AM,19.26,19.222,
8,05/04/24 08:44:51 AM,19.26,19.222,
9,05/04/24 08:44:52 AM,19.26,19.222,
10,05/04/24 08:44:53 AM,19.26,19.222,
11,05/04/24 08:44:54 AM,19.26,19.222,
12,05/04/24 08:44:55 AM,19.26,19.246,
13,05/04/24 08:44:56 AM,19.26,19.246,
14,05/04/24 08:44:57 AM,19.26,19.246,
15,05/04/24 08:44:58 AM,19.26,19.246,
16,05/04/24 08:44:59 AM,19.26,19.246,
17,05/04/24 08:45:00 AM,18.92,19.270,
18,05/04/24 08:45:01 AM,19.26,19.270,
19,05/04/24 08:45:02 AM,19.26,19.270,
20,05/04/24 08:45:03 AM,19.26,19.270,
21,05/04/24 08:45:04 AM,19.26,19.294,
22,05/04/24 08:45:05 AM,19.26,19.294,
23,05/04/24 08:45:06 AM,19.26,19.294,
24,05/04/24 08:45:07 AM,19.26,19.294,
25,05/04/24 08:45:08 AM,19.26,19.294,
26,05/04/24 08:45:09 AM,19.26,19.294,
27,05/04/24 08:45:10 AM,19.26,19.294,
28,05/04/24 08:45:11 AM,19.26,19.294,
29,05/04/24 08:45:12 AM,19.26,19.318,
30,05/04/24 08:45:13 AM,19.26,19.318,
31,05/04/24 08:45:14 AM,19.26,19.318,
32,05/04/24 08:45:15 AM,18.92,19.294,
33,05/04/24 08:45:16 AM,18.92,19.318,
34,05/04/24 08:45:17 AM,19.26,19.318,
35,05/04/24 08:45:18 AM,19.26,19.318,
36,05/04/24 08:45:19 AM,19.26,19.318,
37,05/04/24 08:45:20 AM,19.26,19.318,
38,05/04/24 08:45:21 AM,19.26,19.318,
39,05/04/24 08:45:22 AM,19.26,19.318,
40,05/04/24 08:45:23 AM,19.26,19.318,
41,05/04/24 08:45:24 AM,18.92,19.341,
42,05/04/24 08:45:25 AM,19.26,19.341,
43,05/04/24 08:45:26 AM,19.26,19.341,
44,05/04/24 08:45:27 AM,19.26,19.341,
45,05/04/24 08:45:28 AM,19.26,19.341,
46,05/04/24 08:45:29 AM,19.26,19.341,
47,05/04/24 08:45:30 AM,19.26,19.341,
48,05/04/24 08:45:31 AM,19.26,19.341,
49,05/04/24 08:45:32 AM,19.26,19.341,
50,05/04/24 08:45:33 AM,19.26,19.341,
51,05/04/24 08:45:34 AM,19.26,19.341,
52,05/04/24 08:45:35 AM,18.92,19.341,
53,05/04/24 08:45:36 AM,19.26,19.341,
54,05/04/24 08:45:37 AM,19.26,19.341,
55,05/04/24 08:45:38 AM,19.26,19.341,
56,05/04/24 08:45:39 AM,18.92,19.341,
57,05/04/24 08:45:40 AM,19.26,19.341,
58,05/04/24 08:45:41 AM,19.26,19.341,
59,05/04/24 08:45:42 AM,19.26,19.341,
60,05/04/24 08:45:43 AM,18.92,19.341,
61,05/04/24 08:45:44 AM,18.92,19.341,
62,05/04/24 08:45:45 AM,19.26,19.341,
63,05/04/24 08:45:46 AM,18.92,19.341,
64,05/04/24 08:45:47 AM,18.92,19.341,
65,05/04/24 08:45:48 AM,19.26,19.341,
66,05/04/24 08:45:49 AM,18.92,19.341,
67,05/04/24 08:45:50 AM,18.92,19.341,
68,05/04/24 08:45:51 AM,18.92,19.341,
69,05/04/24 08:45:52 AM,18.92,19.365,
70,05/04/24 08:45:53 AM,19.26,19.341,
71,05/04/24 08:45:54 AM,18.92,19.341,
72,05/04/24 08:45:55 AM,18.92,19.341,
73,05/04/24 08:45:56 AM,19.26,19.341,
74,05/04/24 08:45:57 AM,19.26,19.341,
75,05/04/24 08:45:58 AM,18.92,19.365,
76,05/04/24 08:45:59 AM,18.92,19.341,
77,05/04/24 08:46:00 AM,18.92,19.341,
78,05/04/24 08:46:01 AM,18.92,19.341,
79,05/04/24 08:46:02 AM,19.26,19.365,
80,05/04/24 08:46:03 AM,19.26,19.341,
81,05/04/24 08:46:04 AM,19.26,19.365,
82,05/04/24 08:46:05 AM,18.92,19.365,
83,05/04/24 08:46:06 AM,18.92,19.365,
84,05/04/24 08:46:07 AM,18.92,19.365,
85,05/04/24 08:46:08 AM,18.92,19.365,
86,05/04/24 08:46:09 AM,18.92,19.365,
87,05/04/24 08:46:10 AM,19.26,19.365,
88,05/04/24 08:46:11 AM,19.26,19.341,
89,05/04/24 08:46:12 AM,19.26,19.365,
90,05/04/24 08:46:13 AM,18.92,19.365,
91,05/04/24 08:46:14 AM,19.26,19.365,
92,05/04/24 08:46:15 AM,19.26,19.365,
93,05/04/24 08:46:16 AM,18.92,19.365,
94,05/04/24 08:46:17 AM,18.92,19.365,
95,05/04/24 08:46:18 AM,18.92,19.365,
96,05/04/24 08:46:19 AM,19.26,19.365,
97,05/04/24 08:46:20 AM,18.92,19.365,
98,05/04/24 08:46:21 AM,19.26,19.365,
99,05/04/24 08:46:22 AM,19.26,19.365,
100,05/04/24 08:46:23 AM,18.92,19.365,
101,05/04/24 08:46:24 AM,18.92,19.365,
102,05/04/24 08:46:25 AM,18.92,19.365,
103,05/04/24 08:46:26 AM,18.92,19.365,
104,05/04/24 08:46:27 AM,18.92,19.365,
105,05/04/24 08:46:28 AM,19.26,19.365,
106,05/04/24 08:46:29 AM,19.26,19.365,
107,05/04/24 08:46:30 AM,18.92,19.365,
108,05/04/24 08:46:31 AM,18.92,19.365,
109,05/04/24 08:46:32 AM,18.92,19.365,
110,05/04/24 08:46:33 AM,18.92,19.365,
111,05/04/24 08:46:34 AM,18.92,19.365,
112,05/04/24 08:46:35 AM,18.92,19.365,
113,05/04/24 08:46:36 AM,18.92,19.365,
114,05/04/24 08:46:37 AM,18.92,19.389,
115,05/04/24 08:46:38 AM,18.92,19.365,
116,05/04/24 08:46:39 AM,18.92,19.365,
117,05/04/24 08:46:40 AM,18.92,19.365,
118,05/04/24 08:46:41 AM,18.92,19.365,
119,05/04/24 08:46:42 AM,18.92,19.365,
120,05/04/24 08:46:43 AM,18.92,19.389,
121,05/04/24 08:46:44 AM,18.92,19.365,
122,05/04/24 08:46:45 AM,18.92,19.365,
123,05/04/24 08:46:46 AM,19.26,19.389,
124,05/04/24 08:46:47 AM,18.92,19.389,
125,05/04/24 08:46:48 AM,18.92,19.365,
126,05/04/24 08:46:49 AM,18.92,19.365,
127,05/04/24 08:46:50 AM,18.92,19.389,
128,05/04/24 08:46:51 AM,18.92,19.365,
129,05/04/24 08:46:52 AM,18.92,19.365,
130,05/04/24 08:46:53 AM,19.26,19.389,
131,05/04/24 08:46:54 AM,18.92,19.389,
