"Plot Title: flam.mid"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 2247374, SEN S/N: 2247374, LBL: k)","Temp, °C (LGR S/N: 2247374, SEN S/N: 2247374, LBL: temp)","Host Connected (LGR S/N: 2247374)","Stopped (LGR S/N: 2247374)","End Of File (LGR S/N: 2247374)"
1,07/05/24 05:49:58 PM,19.60,20.650,,,
2,07/05/24 05:49:59 PM,19.60,20.650,,,
3,07/05/24 05:50:00 PM,19.60,20.650,,,
4,07/05/24 05:50:01 PM,19.60,20.650,,,
5,07/05/24 05:50:02 PM,19.60,20.674,,,
6,07/05/24 05:50:03 PM,19.60,20.674,,,
7,07/05/24 05:50:04 PM,19.60,20.674,,,
8,07/05/24 05:50:05 PM,19.60,20.674,,,
9,07/05/24 05:50:06 PM,19.60,20.674,,,
10,07/05/24 05:50:07 PM,19.60,20.698,,,
11,07/05/24 05:50:08 PM,19.60,20.698,,,
12,07/05/24 05:50:09 PM,19.60,20.698,,,
13,07/05/24 05:50:10 PM,19.60,20.698,,,
14,07/05/24 05:50:11 PM,19.60,20.698,,,
15,07/05/24 05:50:12 PM,19.60,20.722,,,
16,07/05/24 05:50:13 PM,19.60,20.722,,,
17,07/05/24 05:50:14 PM,19.60,20.722,,,
18,07/05/24 05:50:15 PM,19.60,20.722,,,
19,07/05/24 05:50:16 PM,19.60,20.722,,,
20,07/05/24 05:50:17 PM,19.60,20.722,,,
21,07/05/24 05:50:18 PM,19.60,20.746,,,
22,07/05/24 05:50:19 PM,19.60,20.746,,,
23,07/05/24 05:50:20 PM,19.60,20.746,,,
24,07/05/24 05:50:21 PM,19.93,20.746,,,
25,07/05/24 05:50:22 PM,19.60,20.746,,,
26,07/05/24 05:50:23 PM,19.60,20.746,,,
27,07/05/24 05:50:24 PM,19.60,20.746,,,
28,07/05/24 05:50:25 PM,19.60,20.746,,,
29,07/05/24 05:50:26 PM,19.60,20.746,,,
30,07/05/24 05:50:27 PM,19.60,20.746,,,
31,07/05/24 05:50:28 PM,19.60,20.746,,,
32,07/05/24 05:50:29 PM,19.60,20.746,,,
33,07/05/24 05:50:30 PM,19.60,20.746,,,
34,07/05/24 05:50:31 PM,19.60,20.746,,,
35,07/05/24 05:50:32 PM,19.60,20.746,,,
36,07/05/24 05:50:33 PM,19.60,20.746,,,
37,07/05/24 05:50:34 PM,19.60,20.746,,,
