"Plot Title: flam.right"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: k)","Temp, °C (LGR S/N: 1253388, SEN S/N: 1253388, LBL: temp)","Host Connected (LGR S/N: 1253388)","Stopped (LGR S/N: 1253388)","End Of File (LGR S/N: 1253388)"
1,07/18/24 06:31:23 PM,22.97,20.341,,,
2,07/18/24 06:31:24 PM,22.63,20.341,,,
3,07/18/24 06:31:25 PM,22.97,20.341,,,
4,07/18/24 06:31:26 PM,22.63,20.365,,,
5,07/18/24 06:31:27 PM,22.63,20.365,,,
6,07/18/24 06:31:28 PM,22.63,20.365,,,
7,07/18/24 06:31:29 PM,22.29,20.365,,,
8,07/18/24 06:31:30 PM,22.63,20.388,,,
9,07/18/24 06:31:31 PM,22.63,20.388,,,
10,07/18/24 06:31:32 PM,22.63,20.388,,,
11,07/18/24 06:31:33 PM,22.63,20.388,,,
12,07/18/24 06:31:34 PM,22.63,20.412,,,
13,07/18/24 06:31:35 PM,22.63,20.412,,,
14,07/18/24 06:31:36 PM,22.63,20.412,,,
15,07/18/24 06:31:37 PM,22.63,20.436,,,
16,07/18/24 06:31:38 PM,22.63,20.436,,,
17,07/18/24 06:31:39 PM,22.63,20.436,,,
18,07/18/24 06:31:40 PM,22.63,20.436,,,
19,07/18/24 06:31:41 PM,22.63,20.460,,,
20,07/18/24 06:31:42 PM,22.63,20.460,,,
21,07/18/24 06:31:43 PM,22.63,20.460,,,
22,07/18/24 06:31:44 PM,22.63,20.460,,,
23,07/18/24 06:31:45 PM,22.63,20.460,,,
24,07/18/24 06:31:46 PM,22.63,20.460,,,
25,07/18/24 06:31:47 PM,22.63,20.460,,,
26,07/18/24 06:31:48 PM,22.63,20.484,,,
27,07/18/24 06:31:49 PM,22.63,20.484,,,
28,07/18/24 06:31:50 PM,22.63,20.484,,,
29,07/18/24 06:31:51 PM,22.63,20.484,,,
30,07/18/24 06:31:52 PM,22.63,20.507,,,
31,07/18/24 06:31:53 PM,22.63,20.484,,,
32,07/18/24 06:31:54 PM,22.63,20.507,,,
33,07/18/24 06:31:55 PM,22.63,20.507,,,
34,07/18/24 06:31:56 PM,22.63,20.507,,,
35,07/18/24 06:31:57 PM,22.63,20.507,,,
36,07/18/24 06:31:58 PM,22.63,20.507,,,
37,07/18/24 06:31:59 PM,22.63,20.507,,,
38,07/18/24 06:32:00 PM,22.63,20.507,,,
39,07/18/24 06:32:01 PM,22.63,20.507,,,
40,07/18/24 06:32:02 PM,22.63,20.531,,,
41,07/18/24 06:32:03 PM,22.63,20.531,,,
42,07/18/24 06:32:04 PM,22.63,20.531,,,
43,07/18/24 06:32:05 PM,22.63,20.531,,,
44,07/18/24 06:32:06 PM,22.63,20.531,,,
45,07/18/24 06:32:07 PM,22.63,20.531,,,
46,07/18/24 06:32:08 PM,22.63,20.531,,,
47,07/18/24 06:32:09 PM,22.63,20.531,,,
48,07/18/24 06:32:10 PM,22.63,20.531,,,
49,07/18/24 06:32:11 PM,22.63,20.555,,,
50,07/18/24 06:32:12 PM,22.63,20.555,,,
51,07/18/24 06:32:13 PM,22.63,20.555,,,
52,07/18/24 06:32:14 PM,22.63,20.555,,,
53,07/18/24 06:32:15 PM,22.63,20.555,,,
54,07/18/24 06:32:16 PM,22.63,20.555,,,
55,07/18/24 06:32:17 PM,22.63,20.555,,,
56,07/18/24 06:32:18 PM,22.63,20.579,,,
57,07/18/24 06:32:19 PM,22.63,20.579,,,
58,07/18/24 06:32:20 PM,22.63,20.579,,,
59,07/18/24 06:32:21 PM,22.63,20.579,,,
60,07/18/24 06:32:22 PM,22.63,20.579,,,
61,07/18/24 06:32:23 PM,22.63,20.579,,,
62,07/18/24 06:32:24 PM,22.63,20.603,,,
63,07/18/24 06:32:25 PM,22.63,20.579,,,
64,07/18/24 06:32:26 PM,22.63,20.603,,,
65,07/18/24 06:32:27 PM,22.63,20.603,,,
66,07/18/24 06:32:28 PM,22.63,20.603,,,
67,07/18/24 06:32:29 PM,22.63,20.603,,,
68,07/18/24 06:32:30 PM,22.63,20.603,,,
69,07/18/24 06:32:31 PM,22.63,20.603,,,
70,07/18/24 06:32:32 PM,22.97,20.627,,,
71,07/18/24 06:32:33 PM,22.63,20.627,,,
72,07/18/24 06:32:34 PM,22.63,20.627,,,
73,07/18/24 06:32:35 PM,22.63,20.627,,,
74,07/18/24 06:32:36 PM,22.63,20.627,,,
75,07/18/24 06:32:37 PM,22.63,20.627,,,
76,07/18/24 06:32:38 PM,22.63,20.650,,,
77,07/18/24 06:32:39 PM,22.63,20.650,,,
78,07/18/24 06:32:40 PM,22.97,20.650,,,
79,07/18/24 06:32:41 PM,22.63,20.650,,,
80,07/18/24 06:32:42 PM,22.63,20.650,,,
81,07/18/24 06:32:43 PM,22.63,20.650,,,
82,07/18/24 06:32:44 PM,22.97,20.674,,,
83,07/18/24 06:32:45 PM,22.63,20.674,,,
84,07/18/24 06:32:46 PM,22.97,20.674,,,
85,07/18/24 06:32:47 PM,22.63,20.674,,,
86,07/18/24 06:32:48 PM,22.97,20.674,,,
87,07/18/24 06:32:49 PM,22.97,20.674,,,
88,07/18/24 06:32:50 PM,22.63,20.674,,,
89,07/18/24 06:32:51 PM,22.97,20.698,,,
90,07/18/24 06:32:52 PM,22.97,20.698,,,
91,07/18/24 06:32:53 PM,22.97,20.698,,,
92,07/18/24 06:32:54 PM,22.97,20.698,,,
93,07/18/24 06:32:55 PM,22.97,20.698,,,
94,07/18/24 06:32:56 PM,22.97,20.722,,,
95,07/18/24 06:32:57 PM,22.97,20.722,,,
96,07/18/24 06:32:58 PM,22.97,20.722,,,
97,07/18/24 06:32:59 PM,22.97,20.722,,,
98,07/18/24 06:33:00 PM,22.97,20.722,,,
99,07/18/24 06:33:01 PM,22.97,20.746,,,
100,07/18/24 06:33:02 PM,22.97,20.746,,,
101,07/18/24 06:33:03 PM,22.97,20.746,,,
102,07/18/24 06:33:04 PM,22.97,20.746,,,
103,07/18/24 06:33:05 PM,22.97,20.746,,,
104,07/18/24 06:33:06 PM,22.97,20.746,,,
105,07/18/24 06:33:07 PM,22.97,20.746,,,
106,07/18/24 06:33:08 PM,22.97,20.770,,,
107,07/18/24 06:33:09 PM,22.97,20.770,,,
108,07/18/24 06:33:10 PM,22.97,20.770,,,
109,07/18/24 06:33:11 PM,22.97,20.770,,,
110,07/18/24 06:33:12 PM,22.97,20.770,,,
111,07/18/24 06:33:13 PM,22.97,20.770,,,
112,07/18/24 06:33:14 PM,22.97,20.770,,,
113,07/18/24 06:33:15 PM,22.97,20.793,,,
114,07/18/24 06:33:16 PM,22.97,20.793,,,
115,07/18/24 06:33:17 PM,22.97,20.793,,,
116,07/18/24 06:33:18 PM,22.97,20.793,,,
117,07/18/24 06:33:19 PM,22.97,20.793,,,
118,07/18/24 06:33:20 PM,22.97,20.793,,,
119,07/18/24 06:33:21 PM,22.97,20.817,,,
120,07/18/24 06:33:22 PM,22.97,20.817,,,
121,07/18/24 06:33:23 PM,22.97,20.817,,,
122,07/18/24 06:33:24 PM,22.97,20.817,,,
123,07/18/24 06:33:25 PM,22.97,20.817,,,
124,07/18/24 06:33:26 PM,22.97,20.817,,,
125,07/18/24 06:33:27 PM,22.97,20.841,,,
126,07/18/24 06:33:28 PM,22.97,20.841,,,
127,07/18/24 06:33:29 PM,22.97,20.841,,,
128,07/18/24 06:33:30 PM,22.97,20.841,,,
129,07/18/24 06:33:31 PM,22.97,20.841,,,
130,07/18/24 06:33:32 PM,22.97,20.841,,,
131,07/18/24 06:33:33 PM,22.97,20.841,,,
132,07/18/24 06:33:34 PM,22.97,20.841,,,
133,07/18/24 06:33:35 PM,22.97,20.865,,,
134,07/18/24 06:33:36 PM,22.63,20.865,,,
135,07/18/24 06:33:37 PM,22.97,20.865,,,
136,07/18/24 06:33:38 PM,22.97,20.889,,,
137,07/18/24 06:33:39 PM,22.63,20.889,,,
138,07/18/24 06:33:40 PM,22.63,20.889,,,
139,07/18/24 06:33:41 PM,22.97,20.889,,,
140,07/18/24 06:33:42 PM,22.63,20.889,,,
141,07/18/24 06:33:43 PM,22.63,20.889,,,
142,07/18/24 06:33:44 PM,22.63,20.889,,,
143,07/18/24 06:33:45 PM,22.63,20.889,,,
144,07/18/24 06:33:46 PM,22.63,20.913,,,
145,07/18/24 06:33:47 PM,22.63,20.913,,,
146,07/18/24 06:33:48 PM,22.63,20.913,,,
147,07/18/24 06:33:49 PM,22.29,20.913,,,
148,07/18/24 06:33:50 PM,22.63,20.936,,,
149,07/18/24 06:33:51 PM,22.63,20.936,,,
150,07/18/24 06:33:52 PM,22.97,20.936,,,
151,07/18/24 06:33:53 PM,22.97,20.936,,,
152,07/18/24 06:33:54 PM,23.30,20.936,,,
153,07/18/24 06:33:55 PM,23.30,20.936,,,
154,07/18/24 06:33:56 PM,23.30,20.936,,,
155,07/18/24 06:33:57 PM,23.64,20.960,,,
156,07/18/24 06:33:58 PM,23.64,20.936,,,
157,07/18/24 06:33:59 PM,23.98,20.960,,,
158,07/18/24 06:34:00 PM,23.98,20.960,,,
159,07/18/24 06:34:01 PM,23.64,20.960,,,
160,07/18/24 06:34:02 PM,23.98,20.984,,,
161,07/18/24 06:34:03 PM,23.98,20.984,,,
162,07/18/24 06:34:04 PM,23.98,20.984,,,
163,07/18/24 06:34:05 PM,23.98,20.984,,,
164,07/18/24 06:34:06 PM,23.98,20.984,,,
165,07/18/24 06:34:07 PM,24.31,21.008,,,
166,07/18/24 06:34:08 PM,23.98,21.008,,,
167,07/18/24 06:34:09 PM,24.31,21.008,,,
168,07/18/24 06:34:10 PM,24.65,21.032,,,
169,07/18/24 06:34:11 PM,24.31,21.032,,,
170,07/18/24 06:34:12 PM,24.31,21.032,,,
171,07/18/24 06:34:13 PM,24.31,21.032,,,
172,07/18/24 06:34:14 PM,24.65,21.032,,,
173,07/18/24 06:34:15 PM,24.65,21.056,,,
174,07/18/24 06:34:16 PM,24.65,21.056,,,
175,07/18/24 06:34:17 PM,24.65,21.056,,,
176,07/18/24 06:34:18 PM,24.65,21.056,,,
177,07/18/24 06:34:19 PM,24.98,21.079,,,
178,07/18/24 06:34:20 PM,24.98,21.103,,,
179,07/18/24 06:34:21 PM,24.98,21.103,,,
180,07/18/24 06:34:22 PM,24.98,21.103,,,
181,07/18/24 06:34:23 PM,24.98,21.103,,,
182,07/18/24 06:34:24 PM,25.32,21.103,,,
