date,sample_id,trial_id,start_time,mass_pre,mass_post,disc1_pre,disc2_pre,pre_combustion,ignition_delay,flame_duration,flame_height,disc1_post,disc2_post,vol_burned,self_ignition,max_temp,self_ig_start,notes
5/04/24,DK01,1,10:11,320.5,80.5,136.8,140.4,yes,15,206,32,180.1,271.4,85,0,357.3,,
5/04/24,DK02,6,10:52,296.7,47.3,139.9,144.7,yes,21,335,27,179.6,212.6,95,0,315.7,,female
5/04/24,DK03,23,14:32,450.1,70.9,140,139.4,yes,12,370,38,213.4,182.8,83,0,338.9,,
5/04/24,DK04,15,13:23,539.9,100.7,144.2,149,yes,30,282,35,207,277.1,80,0,461.8,,female
5/04/24,DK05,18,13:48,320.1,110.3,134.3,144.1,yes,9,164,33,196.5,296.3,50,0,378.4,,
5/04/24,DK06,21,14:11,300.4,80.8,140.4,139.2,yes,6,310,33,176.6,196.5,75,0,560.2,,
5/04/24,DK07,22,14:24,,,,,,,,,,,,0,,,
5/04/24,DK08,7,11:04,50.5,39.5,148.4,148.7,yes,1,3,9,131.6,142.8,3,0,142.8,,
5/04/24,DK09,2,10:23,100.8,70.3,139,146.1,no,1,12,14,128.32,123,22,0,133.8,,
5/04/24,DK10,32,17:12,43.5,28.2,143,131.8,yes,2,7,8,137.5,126.8,5,0,138,,
5/04/24,DK11,17,13:41,30.5,20.9,136,145.6,yes,1,8,9.5,126.8,131.2,4,0,138.8,,
5/04/24,DK12,14,11:42,51.5,38.4,143.3,140,yes,1,10,24,139.9,141.6,7,0,142.9,,
5/04/24,DK13,27,16:41,30.6,20.5,145.5,143.9,yes,2,6,21,143.9,137.1,6,0,137.1,,
5/04/24,DK14,34,17:23,38.6,32.9,147.1,129.9,yes,1,11,14,149,128.7,5,0,150,,
5/04/24,DK15,16,13:35,50.9,30.9,138.3,140,yes,1,14,45,138.4,148.1,52,0,230.8,,
5/04/24,DK16,8,11:09,62.3,53.8,133,140.4,yes,1,20,33.5,140,126.2,17,0,130.2,,
5/04/24,DK17,3,10:31,59.6,35.9,145.1,134.6,yes,1,10,3.1,147.8,162.9,16,0,160.2,,
5/04/24,DK18,12,11:32,83.4,49.8,135.5,131.6,yes,1,43,32,135,152,60,0,170.3,,
5/04/24,DK19,20,14:05,70.8,60.9,135.8,136.9,yes,1,16,22,136.9,140.6,5,0,142,,
5/04/24,DK20,28,16:47,70.5,60.7,142.1,137.7,yes,1,18,33,140,144,30,0,149.9,,
5/04/24,DK21,35,17:29,59.9,38.3,145.9,133.8,yes,1,17,27,142.9,137.6,40,0,148.1,,
5/04/24,DK22,4,10:41,38.6,30.7,143.6,137.8,yes,3,3,5,137.8,131.9,2,0,149,,
5/04/24,DK23,9,11:15,40.8,28.3,137.5,141.3,yes,2,2,6,126.8,130.7,2,0,130.7,,
5/04/24,DK24,25,16:25,40.6,30.5,147.7,135,yes,1,10,14,140.7,147,4,0,149,,
5/04/24,DK25,19,14:00,30.4,20.5,137.2,139.3,yes,3,9,8,135.9,138.8,2,0,141.4,,
5/04/24,DK26,11,11:25,74.5,64.9,144.8,139.7,yes,1,4,7,127.1,122.4,1,0,129.5,,
5/04/24,DK27,24,14:47,40.9,65.1,137.5,142.6,yes,1,14,20.5,128.9,155.5,6,0,155.5,,
5/04/24,DK28,31,17:05,50.1,66.4,148.4,137,yes,1,17,12,141.7,137,15,0,141.7,,
5/04/24,DK29,26,16:32,80.5,67.6,149.1,137.3,yes,1,5,10,142,138.5,1,0,142,,
5/04/24,DK30,10,11:20,81.9,68.8,139,137.1,no,1,9,11,134.5,133.6,6,0,134.3,,
5/04/24,DK31,5,10:47,82.9,69.3,137.3,138.2,yes,1,16,13.5,131.8,153.4,5,0,153.4,,
5/04/24,DK32,29,16:52,83.6,70.7,142.2,149.8,yes,1,9,21,140.9,136.7,1,0,153.1,,
5/04/24,DK33,13,11:37,84.4,71.8,139.4,141.7,yes,1,5,7,141.7,138,2,0,190,,
5/04/24,DK34,30,16:59,85.8,72.4,144.2,141.6,yes,1,9,12.5,150.6,130.3,3,0,150.6,,
5/04/24,DK35,33,17:17,86.9,73.4,142.7,139.9,yes,1,25,11,137.7,127.6,8,0,138,,
05/13/24,ST01,36,11:04,114.5,87.2,141.2,138.3,yes,2,31,27,139.2,148.2,22,0,174,,
05/13/24,ST02,42,15:29,144.5,97.2,139.4,136.4,yes,3,18,27,154,182.2,35,0,235,,
05/13/24,ST03,48,18:52,98.1,74.6,136.3,134.4,yes,2,16,23,112.2,122.8,15,0,170,,
05/14/24,ST04,67,23:21,118.8,63.1,133.9,133.3,no,3,50,19,162.7,152.5,65,0,208.2,,
05/14/24,ST05,68,23:28,138.3,102.3,137.9,135.2,no,4,95,14,126.6,130.8,35,0,159,,
05/14/24,ST06,69,23:35,117,100.9,137.9,130.9,no,2,16,11,131.5,142.1,8,0,220,,
05/14/24,ST07,70,23:40,130.7,121.4,134.2,132.3,no,4,13,10,126.7,131.9,10,0,177,,
05/13/24,ST08,37,11:11,353.2,283.9,142.6,140,yes,19,24,25,126,113.2,5,0,126,,
05/13/24,ST09,43,15:38,282.8,141.6,131.3,140.1,yes,28,282,25,160.9,156.9,60,0,235,,
05/13/24,ST10,49,19:13,168.7,145.6,138.1,133.3,yes,24,10,7,120.9,133.2,3,0,135,,
05/14/24,ST11,55,17:35,281.3,123.5,131.3,132.4,no,8,157,32,202,272.1,80,0,389.1,,
05/14/24,ST12,56,17:44,128,114.8,133.4,134.6,no,7,85,25,145.1,146.9,30,0,224.7,,
05/14/24,ST13,57,17:51,203.8,120.2,130.3,134.1,no,5,132,23,136.6,191.5,70,0,253.6,,
05/14/24,ST14,58,18:24,189.6,72.4,132.1,136.2,yes,3,83,28,244.4,245.1,90,0,379,,
05/13/24,ST15,38,11:20,85.2,73.9,139.8,132,no,1,5,19,135.4,114.8,2,0,135.4,,
05/13/24,ST16,44,15:55,52.5,36.3,131.4,132.5,no,1,16,24,135.4,154.6,40,0,164,,
05/13/24,ST17,50,19:19,162.4,49.9,139.7,142.4,yes,2,27,16,136.5,129,10,0,156,,
05/14/24,ST18,71,23:45,99.3,85.4,132.6,131.7,no,3,7,7,122.2,97,3,0,96,,
05/14/24,ST19,72,23:53,88.2,47.6,131.6,132,no,1,9,11,140.7,126.9,8,0,140.7,,
05/14/24,ST20,73,23:58,26.3,20.4,134.2,133.1,no,3,7,8,130.2,128.7,9,0,130.2,,
,ST21,,,,,,,,,,,,,,0,,,
05/13/24,ST22,39,11:26,22.1,15.6,137,135.1,yes,1,7,20,142.7,135.9,15,0,145,,
05/13/24,ST23,45,16:01,40.7,28.5,130.7,141.6,yes,1,25,19,137.6,147.2,20,0,151.9,,
05/13/24,ST24,51,19:24,54.2,46.6,135.7,132.4,yes,1,15,17,134,135.3,8,0,155,,
05/15/24,ST25,74,00:03,76.1,63.1,133.7,130.6,no,3,9,7,124.6,120.1,4,0,124.6,,
05/13/24,ST26,54,19:59,20.9,18.8,129.5,132.6,no,1,5,6,122.5,123.4,4,0,124.2,,
05/15/24,ST27,75,00:08,45.7,38,135.4,129,no,2,10,8,133.2,120.8,8,0,133.2,,
,ST28,,,,,,,,,,,,,,0,,,
05/13/24,ST29,40,11:32,417.4,166.8,137.6,134.2,yes,75,165,33,122,197,60,0,217,,
05/13/24,ST30,46,16:07,343,60.8,132.9,133.5,yes,36,225,30,227.7,275.1,90,0,308,,
05/13/24,ST31,52,19:30,430.4,140.8,140.7,138.6,no,45,275,25,182.6,229.7,80,0,313.7,,
05/14/24,ST32,59,18:35,275.3,19.5,136.5,134.3,no,20,303,22,286.6,244.9,90,0,355.1,,
05/14/24,ST33,60,18:48,261.2,67.3,136.8,137,no,8,242,22,178.1,193.1,90,0,254.6,,
05/14/24,ST34,61,18:59,275.5,184.7,131.8,134.9,no,12,138,15,146.3,183.9,30,0,176.3,,
05/14/24,ST35,62,19:10,497.4,79.3,132.5,135.9,no,34,502,29,284.8,205.1,95,0,454,,
05/13/24,ST36,41,11:46,583.3,441.8,135.1,132.9,yes,77,83,38,108.5,186.3,10,0,186.3,,
05/13/24,ST37,47,16:20,308.3,82.7,127.8,132.5,yes,34,306,28,205,226.7,90,0,350,,
05/13/24,ST38,53,19:47,308.2,95.8,138.8,133.6,no,29,236,18,159.8,249.9,75,0,313.6,,
05/14/24,ST39,63,19:25,334.2,100.4,131.3,132.2,no,45,289,12,216,181.3,85,0,364,,
05/14/24,ST40,64,19:40,397.3,38.7,130.2,133,no,35,355,26,220,174.8,95,0,381.4,,
05/14/24,ST41,65,19:58,152.9,32,138.4,133,no,6,209,29,224.5,235.8,80,0,301,,
05/14/24,ST42,66,20:07,216.8,41.6,129.9,132.1,yes,6,190,28,252.1,211.6,85,0,329.3,,
5/28/24,TD14,76,18:33,195.3,169,130.7,131.8,yes,7,6,9,100.3,122.6,3,0,122.6,,
5/28/24,TD08,77,18:39,128.5,116.9,130.4,131.6,no,2,11,7,113.7,118.4,3,0,118.4,,
5/28/24,TD13,78,18:46,71,63.1,130.6,125.7,no,1,6,7,106.7,112.5,4,0,112.5,,
5/28/24,TD03,79,18:59,38.4,27.3,133.4,128.8,yes,2,19,13,144,137,18,0,137,,
5/28/24,TD11,80,19:08,97.7,74.5,129.8,131.6,no,2,51,15,123,133.4,22,0,154,,
5/28/24,TD10,81,19:14,44.7,41.8,126.4,124,no,1,9,6,121.7,120,8,0,121.7,,
5/28/24,TD20,82,19:19,340.8,300.2,134.8,131.8,no,20,14,8,120.3,119.3,5,0,120.3,,
