sample_id,date,time,fresh_mass,dry_mass
TD10,05/27/2024,03:58:00 PM,0.2258,
TD14,05/27/2024,04:10:00 PM,0.5504,
TD12,05/27/2024,04:13:00 PM,0.5843,
TD21,05/27/2024,04:16:00 PM,0.8548,
TD16,05/27/2024,04:18:00 PM,0.482,
TD17,05/27/2024,04:30:00 PM,0.7051,
TD27,05/27/2024,04:35:00 PM,0.647,
TD29,05/27/2024,04:40:00 PM,0.4822,
TD28,05/27/2024,04:43:00 PM,0.2451,
TD10,05/27/2024,11:50:00 PM,0.1468,
TD14,05/28/2024,12:02:00 AM,0.4062,
TD12,05/27/2024,11:58:00 PM,0.4221,
TD21,05/28/2024,12:21:00 AM,0.752,
TD16,05/28/2024,12:20:00 AM,0.3731,
TD17,05/28/2024,12:22:00 AM,0.6477,
TD27,05/28/2024,12:26:00 AM,0.3369,
TD29,05/28/2024,12:24:00 AM,0.2452,
TD28,05/28/2024,12:25:00 AM,0.1264,
TD10,05/28/2024,12:09:00 PM,0.1213,
TD14,05/28/2024,12:12:00 PM,0.3473,
TD12,05/28/2024,12:11:00 PM,0.3529,
TD21,05/28/2024,12:13:00 PM,0.6826,
TD16,05/28/2024,12:12:00 PM,0.3105,
TD17,05/28/2024,12:14:00 PM,0.5904,
TD27,05/28/2024,12:15:00 PM,0.3216,
TD29,05/28/2024,12:16:00 PM,0.2427,
TD28,05/28/2024,12:16:00 PM,0.1216,
TD10,05/28/2024,08:37:00 PM,0.1153,
TD14,05/28/2024,08:36:00 PM,0.323,
TD12,05/28/2024,08:37:00 PM,0.322,
TD21,05/28/2024,08:39:00 PM,0.6411,
TD16,05/28/2024,08:36:00 PM,0.2809,
TD17,05/28/2024,08:38:00 PM,0.5565,
TD27,05/28/2024,08:40:00 PM,0.3196,
TD29,05/28/2024,08:29:00 PM,0.2394,
TD28,05/28/2024,08:40:00 PM,0.1189,
TD10,05/29/2024,02:35:00 PM,0.1111,
TD14,05/29/2024,02:35:00 PM,0.2841,
TD12,05/29/2024,02:36:00 PM,0.2789,
TD21,05/29/2024,02:36:00 PM,0.5618,
TD16,05/29/2024,02:37:00 PM,0.2441,
TD17,05/29/2024,02:37:00 PM,0.4959,
TD27,05/29/2024,02:38:00 PM,0.3184,
TD29,05/29/2024,02:38:00 PM,0.2385,
TD28,05/29/2024,02:39:00 PM,0.1163,
TD10,05/29/2024,11:43:00 PM,0.1094,
TD14,05/29/2024,11:43:00 PM,0.2704,
TD12,05/29/2024,11:44:00 PM,0.2681,
TD21,05/29/2024,11:44:00 PM,0.521,
TD16,05/29/2024,11:45:00 PM,0.2312,
TD17,05/29/2024,11:45:00 PM,0.4692,
TD27,05/29/2024,11:46:00 PM,0.3174,
TD29,05/29/2024,11:46:00 PM,,
TD28,05/29/2024,11:47:00 PM,0.1186,
TD10,05/30/2024,03:54:00 PM,0.1086,
TD14,05/30/2024,03:54:00 PM,0.2556,
TD12,05/30/2024,03:55:00 PM,0.2617,
TD21,05/30/2024,03:55:00 PM,0.4599,
TD16,05/30/2024,03:56:00 PM,0.2168,
TD17,05/30/2024,03:56:00 PM,0.4228,
TD27,05/30/2024,03:57:00 PM,0.3168,
TD29,05/30/2024,03:57:00 PM,0.2376,
TD28,05/30/2024,03:58:00 PM,0.1148,
TD10,05/31/2024,07:12:00 PM,0.1073,
TD14,05/31/2024,07:12:00 PM,0.245,
TD12,05/31/2024,07:13:00 PM,0.2572,
TD21,05/31/2024,07:13:00 PM,0.4034,
TD16,05/31/2024,07:14:00 PM,0.2061,
TD17,05/31/2024,07:14:00 PM,0.3708,
TD27,05/31/2024,07:15:00 PM,0.316,
TD29,05/31/2024,07:15:00 PM,0.2376,
TD28,05/31/2024,07:16:00 PM,0.1145,
TD10,06/01/2024,08:55:00 PM,0.1062,
TD14,06/01/2024,08:55:00 PM,0.2421,
TD12,06/01/2024,08:56:00 PM,0.2545,
TD21,06/01/2024,08:56:00 PM,0.3847,
TD16,06/01/2024,08:57:00 PM,0.2024,
TD17,06/01/2024,08:57:00 PM,0.354,
TD27,06/01/2024,08:58:00 PM,0.3151,
TD29,06/01/2024,08:58:00 PM,0.2373,
TD28,06/01/2024,08:59:00 PM,0.1139,
TD10,06/02/2024,12:38:00 AM,0.1075,
TD14,06/02/2024,12:38:00 AM,0.2418,
TD12,06/02/2024,12:39:00 AM,0.255,
TD21,06/02/2024,12:39:00 AM,0.3818,
TD16,06/02/2024,12:40:00 AM,0.2018,
TD17,06/02/2024,12:40:00 AM,0.3536,
TD27,06/02/2024,12:41:00 AM,0.3165,
TD29,06/02/2024,12:41:00 AM,0.2379,
TD28,06/02/2024,12:42:00 AM,0.1143,
TD10,06/03/2024,08:30:00 PM,0.1046,
TD14,06/03/2024,08:30:00 PM,0.2363,
TD12,06/03/2024,08:31:00 PM,0.2488,
TD21,06/03/2024,08:31:00 PM,0.3767,
TD16,06/03/2024,08:32:00 PM,0.1994,
TD17,06/03/2024,08:32:00 PM,0.3482,
TD27,06/03/2024,08:33:00 PM,0.3102,
TD29,06/03/2024,08:33:00 PM,0.2337,
TD28,06/03/2024,08:34:00 PM,0.1124,
