sample_id,spcode,species,notes,sex
DK01,JUPI,Juniperus pinchotii,,
DK02,JUPI,Juniperus pinchotii,,female
DK03,JUPI,Juniperus pinchotii,,
DK04,JUPI,Juniperus pinchotii,,female
DK05,JUPI,Juniperus pinchotii,,
DK06,JUPI,Juniperus pinchotii,,
DK07,JUPI,Juniperus pinchotii,,
DK08,RHTR,Rhus trilobata,,
DK09,RHTR,Rhus trilobata,,
DK10,RHTR,Rhus trilobata,,
DK11,RHTR,Rhus trilobata,,
DK12,RHTR,Rhus trilobata,,
DK13,RHTR,Rhus trilobata,,
DK14,RHTR,Rhus trilobata,,
DK15,PRGL2,Prosopis glandulosa,,
DK16,PRGL3,Prosopis glandulosa,,
DK17,PRGL4,Prosopis glandulosa,,
DK18,PRGL5,Prosopis glandulosa,,
DK19,PRGL6,Prosopis glandulosa,,
DK20,PRGL7,Prosopis glandulosa,,
DK21,PRGL8,Prosopis glandulosa,,
DK22,PRAN3,Prunus angustifolia,,
DK23,PRAN3,Prunus angustifolia,,
DK24,PRAN3,Prunus angustifolia,,
DK25,PRAN3,Prunus angustifolia,,
DK26,PRAN3,Prunus angustifolia,,
DK27,PRAN3,Prunus angustifolia,,
DK28,PRAN3,Prunus angustifolia,,
DK29,CELAR,Celtis laevigata,,
DK30,CELAR,Celtis laevigata,,
DK31,CELAR,Celtis laevigata,,
DK32,CELAR,Celtis laevigata,,
DK33,CELAR,Celtis laevigata,,
DK34,CELAR,Celtis laevigata,,
DK35,CELAR,Celtis laevigata,,
ST01,QUVI,Quercus virgiana,,
ST02,QUVI,Quercus virgiana,,
ST03,QUVI,Quercus virgiana,,
ST04,QUVI,Quercus virgiana,,
ST05,QUVI,Quercus virgiana,,
ST06,QUVI,Quercus virgiana,,
ST07,QUVI,Quercus virgiana,,
ST08,SOSE3,Sophora secundiflora,,
ST09,SOSE3,Sophora secundiflora,,
ST10,SOSE3,Sophora secundiflora,,
ST11,SOSE3,Sophora secundiflora,,
ST12,SOSE3,Sophora secundiflora,,
ST13,SOSE3,Sophora secundiflora,,
ST14,SOSE3,Sophora secundiflora,,
ST15,FOPU2,Forestiera pubescens,,
ST16,FOPU2,Forestiera pubescens,,
ST17,FOPU2,Forestiera pubescens,,
ST18,FOPU2,Forestiera pubescens,,
ST19,FOPU2,Forestiera pubescens,,
ST20,FOPU2,Forestiera pubescens,,
ST21,FOPU2,Forestiera pubescens,,
ST22,SEBE2,Senegalia berlandieri,,
ST23,SEBE2,Senegalia berlandieri,,
ST24,SEBE2,Senegalia berlandieri,,
ST25,SEBE2,Senegalia berlandieri,,
ST26,SEBE2,Senegalia berlandieri,,
ST27,SEBE2,Senegalia berlandieri,,
ST28,SEBE2,Senegalia berlandieri,,
ST29,JUAS,Juniperus ashei,,
ST30,JUAS,Juniperus ashei,,
ST31,JUAS,Juniperus ashei,,
ST32,JUAS,Juniperus ashei,,
ST33,JUAS,Juniperus ashei,,
ST34,JUAS,Juniperus ashei,,
ST35,JUAS,Juniperus ashei,,
ST36,JUAS,Juniperus ashei,,female
ST37,JUAS,Juniperus ashei,,female
ST38,JUAS,Juniperus ashei,,female
ST39,JUAS,Juniperus ashei,,female
ST40,JUAS,Juniperus ashei,coneless,female
ST41,JUAS,Juniperus ashei,coneless,female
ST42,JUAS,Juniperus ashei,coneless,female
