#,Date-Time (CDT),Temperature   (°C),RH   (%),Dew Point   (°C),Button Down,Host Connected,End of File
1,07/25/2024 13:42:07,22.86,53.23,12.87,,,
2,07/25/2024 13:43:07,23.03,52.85,12.92,,,
3,07/25/2024 13:44:07,23.20,52.77,13.04,,,
4,07/25/2024 13:45:07,23.29,52.47,13.04,,,
5,07/25/2024 13:46:07,23.39,52.25,13.07,,,
6,07/25/2024 13:47:07,23.47,52.15,13.12,,,
7,07/25/2024 13:48:07,23.51,51.88,13.07,,,
8,07/25/2024 13:49:07,23.56,51.14,12.90,,,
9,07/25/2024 13:50:07,23.61,50.98,12.90,,,
10,07/25/2024 13:51:07,23.66,50.79,12.88,,,
11,07/25/2024 13:52:07,23.73,51.01,13.02,,,
12,07/25/2024 13:53:07,23.77,50.63,12.94,,,
13,07/25/2024 13:54:07,23.80,50.53,12.93,,,
14,07/25/2024 13:55:07,23.84,50.65,13.00,,,
15,07/25/2024 13:56:07,23.85,51.01,13.12,,,
16,07/25/2024 13:57:07,23.88,50.90,13.12,,,
17,07/25/2024 13:58:07,23.89,50.22,12.93,,,
18,07/25/2024 13:59:07,23.90,49.68,12.77,,,
19,07/25/2024 14:00:07,23.89,59.70,15.60,,,
20,07/25/2024 14:01:07,23.74,54.08,13.92,,,
21,07/25/2024 14:02:07,23.60,52.55,13.35,,,
22,07/25/2024 14:03:07,23.45,52.76,13.27,,,
23,07/25/2024 14:04:07,23.28,52.91,13.16,,,
24,07/25/2024 14:05:07,23.15,52.04,12.79,,,
25,07/25/2024 14:06:07,23.00,51.65,12.53,,,
26,07/25/2024 14:07:07,22.86,51.50,12.36,,,
27,07/25/2024 14:08:07,22.71,51.76,12.30,,,
28,07/25/2024 14:09:07,22.57,52.07,12.26,,,
29,07/25/2024 14:10:07,22.43,52.17,12.16,,,
30,07/25/2024 14:11:07,22.34,52.54,12.18,,,
31,07/25/2024 14:12:07,22.19,53.26,12.25,,,
32,07/25/2024 14:13:07,22.09,53.18,12.14,,,
33,07/25/2024 14:14:07,21.93,53.59,12.10,,,
34,07/25/2024 14:15:07,21.90,53.63,12.08,,,
35,07/25/2024 14:16:07,21.80,53.58,11.98,,,
36,07/25/2024 14:17:07,21.75,53.82,12.00,,,
37,07/25/2024 14:18:07,21.65,53.88,11.93,,,
38,07/25/2024 14:19:07,21.59,53.90,11.87,,,
39,07/25/2024 14:20:07,21.52,54.17,11.89,,,
40,07/25/2024 14:21:07,21.46,54.20,11.84,,,
41,07/25/2024 14:22:07,21.35,54.43,11.80,,,
42,07/25/2024 14:23:07,21.31,54.57,11.80,,,
43,07/25/2024 14:24:07,21.25,54.68,11.78,,,
44,07/25/2024 14:25:07,21.20,54.91,11.79,,,
45,07/25/2024 14:26:07,21.13,55.06,11.77,,,
46,07/25/2024 14:27:07,21.04,55.14,11.71,,,
47,07/25/2024 14:28:07,20.99,55.41,11.73,,,
48,07/25/2024 14:29:07,20.95,55.53,11.74,,,
