"Plot Title: flam.mid"
"#","Date Time, GMT-05:00","K-Type, °C (LGR S/N: 1282995, SEN S/N: 1282995, LBL: k)","Temp, °C (LGR S/N: 1282995, SEN S/N: 1282995, LBL: temp)","Host Connected (LGR S/N: 1282995)","Stopped (LGR S/N: 1282995)","End Of File (LGR S/N: 1282995)"
1,05/24/23 12:14:27 PM,21.28,21.390,,,
2,05/24/23 12:14:28 PM,21.28,21.390,,,
3,05/24/23 12:14:29 PM,21.28,21.390,,,
4,05/24/23 12:14:30 PM,21.28,21.390,,,
5,05/24/23 12:14:31 PM,22.29,21.390,,,
6,05/24/23 12:14:32 PM,21.28,21.390,,,
7,05/24/23 12:14:33 PM,21.28,21.413,,,
8,05/24/23 12:14:34 PM,21.62,21.390,,,
9,05/24/23 12:14:35 PM,21.28,21.413,,,
10,05/24/23 12:14:36 PM,21.28,21.413,,,
11,05/24/23 12:14:37 PM,21.28,21.437,,,
12,05/24/23 12:14:38 PM,21.28,21.413,,,
13,05/24/23 12:14:39 PM,21.28,21.437,,,
14,05/24/23 12:14:40 PM,21.28,21.437,,,
15,05/24/23 12:14:41 PM,21.62,21.437,,,
16,05/24/23 12:14:42 PM,21.28,21.437,,,
17,05/24/23 12:14:43 PM,21.62,21.461,,,
18,05/24/23 12:14:44 PM,21.62,21.461,,,
19,05/24/23 12:14:45 PM,21.28,21.461,,,
20,05/24/23 12:14:46 PM,21.28,21.461,,,
21,05/24/23 12:14:47 PM,21.28,21.485,,,
22,05/24/23 12:14:48 PM,21.28,21.485,,,
23,05/24/23 12:14:49 PM,21.28,21.485,,,
24,05/24/23 12:14:50 PM,21.28,21.485,,,
25,05/24/23 12:14:51 PM,21.28,21.509,,,
26,05/24/23 12:14:52 PM,21.62,21.509,,,
27,05/24/23 12:14:53 PM,21.28,21.509,,,
28,05/24/23 12:14:54 PM,21.62,21.509,,,
29,05/24/23 12:14:55 PM,21.28,21.509,,,
30,05/24/23 12:14:56 PM,21.28,21.509,,,
31,05/24/23 12:14:57 PM,21.62,21.533,,,
32,05/24/23 12:14:58 PM,21.28,21.509,,,
33,05/24/23 12:14:59 PM,21.62,21.533,,,
34,05/24/23 12:15:00 PM,21.28,21.533,,,
35,05/24/23 12:15:01 PM,21.62,21.533,,,
36,05/24/23 12:15:02 PM,21.28,21.533,,,
37,05/24/23 12:15:03 PM,21.28,21.533,,,
38,05/24/23 12:15:04 PM,21.28,21.533,,,
39,05/24/23 12:15:05 PM,21.28,21.533,,,
40,05/24/23 12:15:06 PM,21.28,21.533,,,
41,05/24/23 12:15:07 PM,21.28,21.533,,,
42,05/24/23 12:15:08 PM,21.28,21.533,,,
43,05/24/23 12:15:09 PM,21.28,21.533,,,
44,05/24/23 12:15:10 PM,21.62,21.557,,,
45,05/24/23 12:15:11 PM,21.28,21.557,,,
46,05/24/23 12:15:12 PM,21.62,21.557,,,
47,05/24/23 12:15:13 PM,21.62,21.557,,,
48,05/24/23 12:15:14 PM,21.28,21.557,,,
49,05/24/23 12:15:15 PM,21.62,21.557,,,
50,05/24/23 12:15:16 PM,21.62,21.557,,,
51,05/24/23 12:15:17 PM,21.28,21.557,,,
52,05/24/23 12:15:18 PM,21.62,21.557,,,
53,05/24/23 12:15:19 PM,21.62,21.557,,,
54,05/24/23 12:15:20 PM,21.28,21.557,,,
55,05/24/23 12:15:21 PM,21.28,21.557,,,
56,05/24/23 12:15:22 PM,21.28,21.557,,,
57,05/24/23 12:15:23 PM,21.62,21.557,,,
58,05/24/23 12:15:24 PM,21.28,21.557,,,
59,05/24/23 12:15:25 PM,21.28,21.557,,,
60,05/24/23 12:15:26 PM,21.28,21.557,,,
61,05/24/23 12:15:27 PM,21.28,21.557,,,
62,05/24/23 12:15:28 PM,21.28,21.557,,,
63,05/24/23 12:15:29 PM,21.28,21.557,,,
64,05/24/23 12:15:30 PM,21.28,21.557,,,
65,05/24/23 12:15:31 PM,21.28,21.581,,,
66,05/24/23 12:15:32 PM,21.62,21.581,,,
67,05/24/23 12:15:33 PM,21.28,21.557,,,
68,05/24/23 12:15:34 PM,21.28,21.581,,,
69,05/24/23 12:15:35 PM,21.28,21.581,,,
70,05/24/23 12:15:36 PM,21.28,21.581,,,
71,05/24/23 12:15:37 PM,21.28,21.581,,,
72,05/24/23 12:15:38 PM,21.28,21.581,,,
73,05/24/23 12:15:39 PM,21.28,21.581,,,
74,05/24/23 12:15:40 PM,21.28,21.557,,,
75,05/24/23 12:15:41 PM,21.28,21.581,,,
76,05/24/23 12:15:42 PM,21.28,21.581,,,
77,05/24/23 12:15:43 PM,21.28,21.581,,,
78,05/24/23 12:15:44 PM,21.28,21.581,,,
79,05/24/23 12:15:45 PM,21.62,21.581,,,
80,05/24/23 12:15:46 PM,21.28,21.581,,,
81,05/24/23 12:15:47 PM,21.28,21.581,,,
82,05/24/23 12:15:48 PM,21.28,21.581,,,
83,05/24/23 12:15:49 PM,21.28,21.581,,,
84,05/24/23 12:15:50 PM,21.28,21.581,,,
85,05/24/23 12:15:51 PM,21.28,21.581,,,
86,05/24/23 12:15:52 PM,21.28,21.581,,,
87,05/24/23 12:15:53 PM,21.28,21.581,,,
88,05/24/23 12:15:54 PM,21.28,21.581,,,
89,05/24/23 12:15:55 PM,21.28,21.581,,,
90,05/24/23 12:15:56 PM,21.28,21.581,,,
91,05/24/23 12:15:57 PM,21.62,21.581,,,
92,05/24/23 12:15:58 PM,21.28,21.581,,,
93,05/24/23 12:15:59 PM,21.62,21.581,,,
94,05/24/23 12:16:00 PM,21.28,21.581,,,
95,05/24/23 12:16:01 PM,21.28,21.581,,,
96,05/24/23 12:16:02 PM,21.28,21.581,,,
97,05/24/23 12:16:03 PM,21.28,21.581,,,
98,05/24/23 12:16:04 PM,21.28,21.581,,,
99,05/24/23 12:16:05 PM,21.28,21.581,,,
100,05/24/23 12:16:06 PM,21.28,21.581,,,
101,05/24/23 12:16:07 PM,21.28,21.581,,,
102,05/24/23 12:16:08 PM,21.28,21.581,,,
103,05/24/23 12:16:09 PM,21.28,21.581,,,
104,05/24/23 12:16:10 PM,21.28,21.581,,,
105,05/24/23 12:16:11 PM,21.28,21.581,,,
106,05/24/23 12:16:12 PM,21.28,21.581,,,
107,05/24/23 12:16:13 PM,21.28,21.581,,,
108,05/24/23 12:16:14 PM,21.28,21.604,,,
109,05/24/23 12:16:15 PM,21.28,21.604,,,
110,05/24/23 12:16:16 PM,21.62,21.604,,,
111,05/24/23 12:16:17 PM,21.28,21.604,,,
112,05/24/23 12:16:18 PM,21.28,21.604,,,
113,05/24/23 12:16:19 PM,21.28,21.604,,,
114,05/24/23 12:16:20 PM,21.28,21.604,,,
115,05/24/23 12:16:21 PM,21.28,21.604,,,
116,05/24/23 12:16:22 PM,21.28,21.604,,,
117,05/24/23 12:16:23 PM,21.28,21.604,,,
118,05/24/23 12:16:24 PM,21.28,21.604,,,
119,05/24/23 12:16:25 PM,21.28,21.604,,,
120,05/24/23 12:16:26 PM,21.28,21.604,,,
121,05/24/23 12:16:27 PM,21.28,21.604,,,
122,05/24/23 12:16:28 PM,21.28,21.604,,,
123,05/24/23 12:16:29 PM,21.28,21.604,,,
124,05/24/23 12:16:30 PM,21.28,21.604,,,
125,05/24/23 12:16:31 PM,21.28,21.604,,,
126,05/24/23 12:16:32 PM,21.28,21.604,,,
127,05/24/23 12:16:33 PM,21.28,21.604,,,
128,05/24/23 12:16:34 PM,21.28,21.604,,,
