sample_id,spcode,species,lat,long,notes
DK01,JUPI,Juniperus pinchotii,33.62838,100.8271,
DK02,PRGL2,Prosopis glandulosa,33.62835,100.82713,
DK03,PHTR,Rhus trilobata,33.62841,100.82719,
DK04,JUPI,Juniperus pinchotii,33.62836,100.82717,
DK05,PRGL2,Prosopis glandulosa,33.62838,100.82719,
DK06,PHTR,Rhus trilobata,33.62841,100.82706,
DK07,JUPI,Juniperus pinchotii,33.62885,100.82758,
DK08,PRGL2,Prosopis glandulosa,33.62881,100.82758,
DK09,PHTR,Rhus trilobata,33.62874,100.82748,
DK10,JUPI,Juniperus pinchotii,33.6287,100.82713,
DK11,PRGL2,Prosopis glandulosa,33.62863,100.82742,
DK12,PHTR,Rhus trilobata,33.62862,100.82735,
DK13,JUPI,Juniperus pinchotii,33.62888,100.8279,
DK14,PRGL2,Prosopis glandulosa,33.62889,100.82794,
DK15,PHTR,Rhus trilobata,33.62886,100.82789,
DK16,JUPI,Juniperus pinchotii,33.62868,100.82787,
DK17,PRGL2,Prosopis glandulosa,33.62867,100.82783,
DK18,PHTR,Rhus trilobata,33.62865,100.82786,
PHTR1,PHTR,Rhus trilobata,,,This is an extra sample from one of the Rhus trilobata because we collected bigger branch and this one is the left over
PRGL21,PRGL2,Prosopis glandulosa,,,This is an extra sample from one of the mesquite because we collected bigger branch and this one is the left over
DK19,JUPI,Juniperus pinchotii,33.6286,100.82587,
DK20,PRGL2,Prosopis glandulosa,33.62855,100.82591,
DK21,PHTR,Rhus trilobata,33.62849,100.82606,
DK22,JUPI,Juniperus pinchotii,33.62833,100.82584,
DK23,PRGL2,Prosopis glandulosa,33.62836,100.82574,
DK24,PHTR,Rhus trilobata,33.62828,100.82573,
DK25,JUPI,Juniperus pinchotii,33.62801,100.8262,
DK26,PRGL2,Prosopis glandulosa,33.62806,100.82618,
DK27,PHTR,Rhus trilobata,33.62802,100.82619,
DK28,JUPI,Juniperus pinchotii,33.62769,100.82581,
DK29,PRGL2,Prosopis glandulosa,33.6277,100.82578,
DK30,PHTR,Rhus trilobata,33.62789,100.82579,
DK31,JUPI,Juniperus pinchotii,33.62745,100.82629,
DK32,PRGL2,Prosopis glandulosa,33.62745,100.82627,
DK33,PHTR,Rhus trilobata,33.62751,100.82638,
DK34,JUPI,Juniperus pinchotii,33.62729,100.82609,
DK35,PRGL2,Prosopis glandulosa,33.62732,100.8261,
DK36,PHTR,Rhus trilobata,33.62727,100.82612,
DK100,,,,,testing whether the git and github is working or not
