genus,specific_epithet,common_name,family,spcode,usda_url,ecosystem,notes
Celtis,laevigata,Netleaf hackberry,Ulmaceae,CELAR,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=CELAR,CTX,
Diospyros ,texana,Texas persimmon,Ebenaceae,DITE3,https://plants.usda.gov/home/plantProfile?symbol=DITE3,CTX,
Forestiera,pubescens,Elbowbush,Oleaceae,FOPU2,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=FOPU2,CTX,
Juniperus,deppeana,,Cupressaceae,JUDE2,,SAC,
Juniperus,monosperma,,Cupressaceae,JUMO,,SAC,
Juniperus,pinchotii,Redberry Juniper,Cupressaceae,JUPI,https://plants.usda.gov/DocumentLibrary/plantguide/pdf/cs_jupi.pdf,CTX,
Juniperus ,ashei,Ashe’s juniperus,Cupressaceae,JUAS,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=JUAS,CTX,
Larrea,tridentata,,Zygophyllaceae,LATR2,,DES,
Mahonia,trifoliolata,Algerita,Berberidaceae,MATR3,https://plants.usda.gov/home/plantProfile?symbol=MATR3,CTX,
Pinus,edulis,,Pinaceae,PIED,,SAC,
Psuedotsuda,menziesii ,,Pinaceae,PSME,,SAC,
Pinus,ponderosa,,Pinaceae,PIPO,,SAC,
Pinus,strobiformis,,Pinaceae,PIST3,,SAC,
Prosopis,glandulosa,Honey Mesquite,Fabaceae,PRGL2,https://plants.usda.gov/DocumentLibrary/plantguide/pdf/cs_prgl2.pdf,CTX,
Prunus,angustifolia,Chickasaw plum,Rosaceae,PRAN3,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=PRAN3,CTX,
Quercus,fusiformis,,Fagaceae,QUFU,,CTX,
Quercus,marilandica,,Fagaceae,QUMA3,,CTX,
Quercus,virginiana,Live oak,Fagaceae,QUVI,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=QUVI,CTX,vs fusiformis? sure?
Rhus,trilobata,Skunkbush sumac,Anacardiaceae,RHTR,https://plants.usda.gov/DocumentLibrary/plantguide/pdf/cs_rhtr.pdf,CTX,
Rhus ,virens,Evergreen sumac,Anacardiaceae,RHVI3,https://plants.usda.gov/home/plantProfile?symbol=RHVI3,CTX,
Senegalia,berlandieri,Guajillo,Fabaceae,SEBE2,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=SEBE2,CTX,
Senegalia,greggii,,Fabaceae,SEGR4,,CTX,
Sophora ,secundiflora,Texas mountain laurel,Fabaceae,SOSE3,https://plants.sc.egov.usda.gov/home/plantProfile?symbol=SOSE3,CTX,
Ulmus,crassifolia,,Ulmaceae,ULCR,,CTX,
