#,Date-Time (CDT),Ch: 1 - Temperature   (°C),Ch: 2 - RH   (%),Dew Point   (°C),Button Down,Host Connected,Stopped,End of File
1,06/16/2023 13:51:28,23.70,39.44,9.11,,,,
2,06/16/2023 13:51:38,23.72,39.67,9.21,,,,
3,06/16/2023 13:51:48,23.71,39.53,9.15,,,,
4,06/16/2023 13:51:58,23.75,39.35,9.12,,,,
5,06/16/2023 13:52:08,23.76,39.24,9.09,,,,
6,06/16/2023 13:52:18,23.80,39.73,9.30,,,,
7,06/16/2023 13:52:28,23.88,49.62,12.73,,,,
8,06/16/2023 13:52:38,24.04,44.08,11.08,,,,
9,06/16/2023 13:52:48,24.13,40.18,9.77,,,,
10,06/16/2023 13:52:58,24.18,39.34,9.50,,,,
11,06/16/2023 13:53:08,24.29,38.62,9.32,,,,
12,06/16/2023 13:53:18,24.33,37.90,9.08,,,,
13,06/16/2023 13:53:28,24.43,37.52,9.02,,,,
14,06/16/2023 13:53:38,24.53,36.93,8.87,,,,
15,06/16/2023 13:53:48,24.58,41.20,10.55,,,,
16,06/16/2023 13:53:58,24.64,37.45,9.18,,,,
17,06/16/2023 13:54:08,24.68,36.40,8.79,,,,
18,06/16/2023 13:54:18,24.78,35.99,8.71,,,,
19,06/16/2023 13:54:28,24.82,35.73,8.64,,,,
20,06/16/2023 13:54:38,24.84,35.64,8.62,,,,
21,06/16/2023 13:54:48,24.86,35.47,8.57,,,,
22,06/16/2023 13:54:58,24.89,35.46,8.59,,,,
23,06/16/2023 13:55:08,24.95,35.33,8.59,,,,
24,06/16/2023 13:55:18,24.99,35.35,8.63,,,,
25,06/16/2023 13:55:28,25.01,35.46,8.69,,,,
26,06/16/2023 13:55:38,25.03,35.27,8.63,,,,
27,06/16/2023 13:55:48,25.06,35.33,8.68,,,,
28,06/16/2023 13:55:58,25.06,35.23,8.64,,,,
29,06/16/2023 13:56:08,25.06,35.49,8.75,,,,
30,06/16/2023 13:56:18,25.04,36.89,9.31,,,,
31,06/16/2023 13:56:28,25.09,37.38,9.55,,,,
32,06/16/2023 13:56:38,25.10,36.90,9.37,,,,
33,06/16/2023 13:56:48,25.13,36.59,9.26,,,,
34,06/16/2023 13:56:58,25.12,41.63,11.19,,,,
35,06/16/2023 13:57:08,25.15,39.14,10.29,,,,
36,06/16/2023 13:57:18,25.18,37.93,9.84,,,,
37,06/16/2023 13:57:28,25.18,37.39,9.63,,,,
38,06/16/2023 13:57:38,25.19,37.06,9.51,,,,
39,06/16/2023 13:57:48,25.21,36.26,9.20,,,,
40,06/16/2023 13:57:58,25.24,36.03,9.14,,,,
41,06/16/2023 13:58:08,25.25,35.97,9.12,,,,
42,06/16/2023 13:58:18,25.28,36.10,9.19,,,,
43,06/16/2023 13:58:28,25.27,36.22,9.23,,,,
44,06/16/2023 13:58:38,25.30,35.84,9.11,,,,
45,06/16/2023 13:58:48,25.31,37.44,9.77,,,,
46,06/16/2023 13:58:58,25.31,40.50,10.94,,,,
47,06/16/2023 13:59:08,25.35,42.37,11.66,,,,
48,06/16/2023 13:59:18,25.39,39.03,10.46,,,,
49,06/16/2023 13:59:28,25.44,38.14,10.16,,,,
50,06/16/2023 13:59:38,25.47,41.43,11.43,,,,
51,06/16/2023 13:59:48,25.56,43.79,12.35,,,,
52,06/16/2023 13:59:58,25.65,41.64,11.67,,,,
53,06/16/2023 14:00:08,25.78,39.39,10.95,,,,
54,06/16/2023 14:00:18,25.87,38.77,10.78,,,,
55,06/16/2023 14:00:28,25.94,38.37,10.70,,,,
56,06/16/2023 14:00:38,26.01,38.06,10.63,,,,
57,06/16/2023 14:00:48,26.05,37.87,10.59,,,,
58,06/16/2023 14:00:58,26.10,37.40,10.45,,,,
59,06/16/2023 14:01:08,26.17,37.13,10.40,,,,
60,06/16/2023 14:01:18,26.21,36.87,10.33,,,,
61,06/16/2023 14:01:28,26.25,36.75,10.32,,,,
62,06/16/2023 14:01:38,26.28,36.65,10.31,,,,
63,06/16/2023 14:01:48,26.35,36.62,10.35,,,,
64,06/16/2023 14:01:58,26.36,36.69,10.39,,,,
65,06/16/2023 14:02:08,26.39,36.53,10.35,,,,
66,06/16/2023 14:02:18,26.46,36.53,10.41,,,,
67,06/16/2023 14:02:28,26.50,36.45,10.42,,,,
68,06/16/2023 14:02:38,26.51,36.22,10.33,,,,
69,06/16/2023 14:02:48,26.53,36.12,10.31,,,,
70,06/16/2023 14:02:58,26.61,35.98,10.32,,,,
71,06/16/2023 14:03:08,26.64,35.84,10.29,,,,
72,06/16/2023 14:03:18,26.67,35.75,10.28,,,,
73,06/16/2023 14:03:28,26.72,35.74,10.32,,,,
74,06/16/2023 14:03:38,26.76,35.61,10.29,,,,
75,06/16/2023 14:03:48,26.82,35.47,10.29,,,,
76,06/16/2023 14:03:58,26.86,35.44,10.32,,,,
77,06/16/2023 14:04:08,26.90,35.37,10.32,,,,
78,06/16/2023 14:04:18,26.92,35.37,10.34,,,,
79,06/16/2023 14:04:28,27.00,35.31,10.39,,,,
80,06/16/2023 14:04:38,27.06,35.27,10.42,,,,
81,06/16/2023 14:04:48,27.11,35.13,10.40,,,,
82,06/16/2023 14:04:58,27.14,34.87,10.32,,,,
83,06/16/2023 14:05:08,27.22,34.75,10.33,,,,
84,06/16/2023 14:05:18,27.26,34.66,10.33,,,,
85,06/16/2023 14:05:28,27.26,34.61,10.31,,,,
86,06/16/2023 14:05:38,27.32,34.40,10.28,,,,
87,06/16/2023 14:05:48,27.38,34.25,10.26,,,,
88,06/16/2023 14:05:58,27.47,34.21,10.33,,,,
89,06/16/2023 14:06:08,27.52,34.16,10.34,,,,
90,06/16/2023 14:06:18,27.55,34.19,10.38,,,,
91,06/16/2023 14:06:28,27.59,34.16,10.41,,,,
92,06/16/2023 14:06:38,27.69,34.05,10.44,,,,
93,06/16/2023 14:06:48,27.72,34.04,10.47,,,,
94,06/16/2023 14:06:58,27.78,33.99,10.49,,,,
95,06/16/2023 14:07:08,27.83,34.04,10.56,,,,
96,06/16/2023 14:07:18,27.89,34.07,10.63,,,,
97,06/16/2023 14:07:28,27.98,34.07,10.71,,,,
98,06/16/2023 14:07:38,27.99,34.02,10.69,,,,
99,06/16/2023 14:07:48,28.05,33.88,10.69,,,,
100,06/16/2023 14:07:58,28.12,33.74,10.68,,,,
101,06/16/2023 14:08:08,28.17,33.67,10.69,,,,
102,06/16/2023 14:08:18,28.21,33.50,10.66,,,,
103,06/16/2023 14:08:28,28.27,33.29,10.61,,,,
104,06/16/2023 14:08:38,28.34,33.24,10.65,,,,
105,06/16/2023 14:08:48,28.42,33.16,10.69,,,,
106,06/16/2023 14:08:58,28.46,33.17,10.72,,,,
107,06/16/2023 14:09:08,28.50,33.15,10.75,,,,
108,06/16/2023 14:09:18,28.57,33.09,10.78,,,,
109,06/16/2023 14:09:28,28.62,33.00,10.79,,,,
110,06/16/2023 14:09:38,28.70,32.98,10.84,,,,
